Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,51.62,51.65,51.42,51.58,471729
2018-03-01 09:30:00,51.58,51.62,51.27,51.33,296784
2018-03-01 09:45:00,51.35,51.38,51.08,51.38,178530
2018-03-01 10:00:00,51.38,51.5,51.13,51.38,190728
2018-03-01 10:15:00,51.38,51.48,51.3,51.48,96597
2018-03-01 10:30:00,51.48,51.48,51.3,51.37,88884
2018-03-01 10:45:00,51.37,51.38,51.27,51.33,51510
2018-03-01 11:00:00,51.33,51.4,51.15,51.15,230763
2018-03-01 11:15:00,51.15,51.17,51.13,51.15,116175
2018-03-01 11:30:00,51.15,51.17,51.07,51.15,127050
2018-03-01 11:45:00,51.17,51.17,51.13,51.17,159984
2018-03-01 12:00:00,51.17,51.17,51.15,51.15,87240
2018-03-01 12:15:00,51.15,51.17,51.08,51.12,287235
2018-03-01 12:30:00,51.12,51.33,51.12,51.3,122568
2018-03-01 12:45:00,51.3,51.32,51.23,51.32,50712
2018-03-01 13:00:00,51.32,51.37,51.22,51.35,92742
2018-03-01 13:15:00,51.35,51.48,51.35,51.45,119652
2018-03-01 13:30:00,51.45,51.53,51.3,51.32,212208
2018-03-01 13:45:00,51.32,51.33,51.27,51.32,67539
2018-03-01 14:00:00,51.32,51.33,51.12,51.12,133128
2018-03-01 14:15:00,51.12,51.47,51.07,51.4,140853
2018-03-01 14:30:00,51.4,51.42,51.18,51.25,165717
2018-03-01 14:45:00,51.25,51.33,51.15,51.17,225756
2018-03-01 15:00:00,51.17,51.17,51.05,51.08,418653
2018-03-01 15:15:00,51.08,51.25,51.05,51.13,447858
2018-03-05 09:15:00,50.97,51.12,50.65,50.8,401514
2018-03-05 09:30:00,50.8,50.88,50.67,50.78,201948
2018-03-05 09:45:00,50.78,50.88,50.73,50.83,124959
2018-03-05 10:00:00,50.83,50.83,50.7,50.78,96087
2018-03-05 10:15:00,50.78,50.82,50.72,50.78,87297
2018-03-05 10:30:00,50.78,50.85,50.47,50.58,306813
2018-03-05 10:45:00,50.58,50.67,50.58,50.65,51768
2018-03-05 11:00:00,50.65,50.65,50.55,50.6,65691
2018-03-05 11:15:00,50.6,50.67,50.5,50.6,195684
2018-03-05 11:30:00,50.6,50.72,50.6,50.62,144168
2018-03-05 11:45:00,50.62,51.05,50.62,50.93,1435740
2018-03-05 12:00:00,50.93,50.97,50.67,50.77,169008
2018-03-05 12:15:00,50.77,50.93,50.77,50.92,88710
2018-03-05 12:30:00,50.92,51.32,50.9,51.17,633012
2018-03-05 12:45:00,51.17,51.23,51.05,51.15,201669
2018-03-05 13:00:00,51.15,51.57,51.08,51.47,590727
2018-03-05 13:15:00,51.47,51.48,51.27,51.33,260952
2018-03-05 13:30:00,51.33,51.5,51.32,51.47,161025
2018-03-05 13:45:00,51.47,51.57,51.27,51.32,352590
2018-03-05 14:00:00,51.3,51.33,51.2,51.33,179082
2018-03-05 14:15:00,51.33,51.33,51.03,51.13,163851
2018-03-05 14:30:00,51.13,51.22,51.03,51.13,127002
2018-03-05 14:45:00,51.12,51.5,51.08,51.42,434463
2018-03-05 15:00:00,51.4,52.37,51.37,51.7,2132259
2018-03-05 15:15:00,51.72,51.72,51.35,51.43,547110
2018-03-06 09:15:00,52.48,52.65,52.17,52.27,1698120
2018-03-06 09:30:00,52.28,52.37,52.02,52.08,786840
2018-03-06 09:45:00,52.08,52.18,51.83,51.95,644553
2018-03-06 10:00:00,51.95,52.02,51.68,51.82,510183
2018-03-06 10:15:00,51.82,51.87,51.53,51.65,457332
2018-03-06 10:30:00,51.7,51.8,51.58,51.77,350940
2018-03-06 10:45:00,51.78,51.93,51.77,51.8,270315
2018-03-06 11:00:00,51.78,51.82,51.63,51.7,227520
2018-03-06 11:15:00,51.7,51.73,51.58,51.65,216159
2018-03-06 11:30:00,51.65,51.65,51.43,51.58,274071
2018-03-06 11:45:00,51.58,51.72,51.57,51.62,166179
2018-03-06 12:00:00,51.62,51.67,51.53,51.62,203982
2018-03-06 12:15:00,51.62,51.7,51.52,51.57,148503
2018-03-06 12:30:00,51.57,51.65,51.53,51.58,162465
2018-03-06 12:45:00,51.58,51.63,51.5,51.55,113379
2018-03-06 13:00:00,51.55,51.67,51.55,51.63,146478
2018-03-06 13:15:00,51.63,51.7,51.58,51.63,113256
2018-03-06 13:30:00,51.63,51.75,51.55,51.58,157737
2018-03-06 13:45:00,51.58,51.63,51.55,51.58,122877
2018-03-06 14:00:00,51.58,51.58,51.18,51.22,503787
2018-03-06 14:15:00,51.2,51.45,51.2,51.3,520410
2018-03-06 14:30:00,51.3,51.4,51.05,51.18,394410
2018-03-06 14:45:00,51.15,51.18,50.9,50.93,510006
2018-03-06 15:00:00,50.92,50.93,50.6,50.63,737427
