Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,906.0,918.0,905.05,916.0,992
2018-03-01 09:30:00,916.0,917.95,905.05,906.05,2404
2018-03-01 09:45:00,906.05,907.65,901.1,903.0,695
2018-03-01 10:00:00,903.2,905.0,903.0,903.8,678
2018-03-01 10:15:00,903.8,908.5,903.8,908.5,484
2018-03-01 10:30:00,908.5,909.0,903.8,903.8,932
2018-03-01 10:45:00,903.8,905.55,903.8,903.85,114
2018-03-01 11:00:00,903.85,907.95,903.8,906.35,85
2018-03-01 11:15:00,906.35,909.0,906.35,906.9,173
2018-03-01 11:30:00,906.9,909.0,903.8,903.8,788
2018-03-01 11:45:00,903.1,909.0,903.0,903.5,402
2018-03-01 12:00:00,903.5,904.6,900.1,904.2,232
2018-03-01 12:15:00,906.3,908.65,900.1,905.0,1411
2018-03-01 12:30:00,905.0,909.05,901.65,901.65,1197
2018-03-01 12:45:00,904.0,908.95,904.0,907.1,548
2018-03-01 13:00:00,907.1,909.0,904.8,905.1,162
2018-03-01 13:15:00,906.25,908.55,906.2,907.95,22
2018-03-01 13:30:00,906.5,908.0,905.0,905.8,154
2018-03-01 13:45:00,906.55,906.55,899.0,899.0,1705
2018-03-01 14:00:00,899.0,899.95,896.9,897.0,181
2018-03-01 14:15:00,897.0,900.0,896.05,899.8,1940
2018-03-01 14:30:00,899.95,899.95,897.65,899.9,36
2018-03-01 14:45:00,899.95,900.0,897.65,900.0,161
2018-03-01 15:00:00,900.0,900.85,897.0,900.0,7842
2018-03-01 15:15:00,900.0,902.0,897.0,902.0,6642
2018-03-05 09:15:00,901.35,909.95,899.55,905.55,613
2018-03-05 09:30:00,903.0,907.15,892.55,895.0,650
2018-03-05 09:45:00,895.0,895.7,891.3,895.25,111
2018-03-05 10:00:00,895.2,900.05,895.05,899.0,279
2018-03-05 10:15:00,899.0,900.75,895.0,895.0,90
2018-03-05 10:30:00,895.5,895.5,892.0,892.05,595
2018-03-05 10:45:00,892.05,895.5,892.05,895.5,124
2018-03-05 11:00:00,895.5,897.45,892.1,897.45,308
2018-03-05 11:15:00,898.25,898.25,893.2,893.45,120
2018-03-05 11:30:00,893.45,897.55,893.45,896.75,154
2018-03-05 11:45:00,894.75,899.0,894.45,899.0,25
2018-03-05 12:00:00,899.0,899.95,898.0,899.9,284
2018-03-05 12:15:00,898.05,899.9,898.0,899.9,264
2018-03-05 12:30:00,899.9,901.4,898.05,900.0,312
2018-03-05 12:45:00,900.0,902.5,900.0,900.0,432
2018-03-05 13:00:00,900.0,900.0,897.95,897.95,1335
2018-03-05 13:15:00,897.95,897.95,892.05,893.95,226
