Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,350.25,353.0,350.25,350.4,992
2018-03-01 09:30:00,350.2,351.5,350.0,350.0,1315
2018-03-01 09:45:00,350.0,350.05,348.05,349.25,2718
2018-03-01 10:00:00,349.25,349.25,348.35,349.25,123
2018-03-01 10:15:00,349.25,349.5,348.95,349.0,745
2018-03-01 10:30:00,349.0,349.4,348.3,349.05,628
2018-03-01 10:45:00,349.05,349.8,349.0,349.4,556
2018-03-01 11:00:00,349.4,351.35,348.55,349.05,3369
2018-03-01 11:15:00,349.45,349.5,348.55,348.55,1406
2018-03-01 11:30:00,348.55,349.2,348.55,349.2,102
2018-03-01 11:45:00,349.0,349.0,346.3,348.05,2014
2018-03-01 12:00:00,348.1,348.9,348.05,348.1,305
2018-03-01 12:15:00,348.1,349.2,348.1,348.9,488
2018-03-01 12:30:00,348.9,349.4,348.9,349.25,422
2018-03-01 12:45:00,349.25,349.3,348.5,348.5,400
2018-03-01 13:00:00,348.5,349.5,348.5,349.45,748
2018-03-01 13:15:00,349.3,349.5,349.25,349.5,646
2018-03-01 13:30:00,349.5,349.5,349.25,349.25,1319
2018-03-01 13:45:00,349.25,349.5,349.25,349.25,569
2018-03-01 14:00:00,349.25,349.4,349.0,349.0,685
2018-03-01 14:15:00,349.0,349.25,347.5,347.5,735
2018-03-01 14:30:00,347.5,347.9,346.5,346.9,621
2018-03-01 14:45:00,346.9,346.9,345.5,346.0,3978
2018-03-01 15:00:00,346.0,346.0,344.0,345.05,5357
2018-03-01 15:15:00,345.05,345.05,343.6,343.6,3226
2018-03-05 09:15:00,345.0,345.0,343.3,343.95,1494
2018-03-05 09:30:00,343.95,346.7,343.95,346.05,2913
2018-03-05 09:45:00,346.3,346.7,345.0,346.5,1273
2018-03-05 10:00:00,345.9,346.7,345.0,346.4,1233
2018-03-05 10:15:00,346.4,347.0,345.0,345.5,4332
2018-03-05 10:30:00,345.5,346.95,345.0,345.65,2273
2018-03-05 10:45:00,345.65,347.0,345.6,345.6,1591
2018-03-05 11:00:00,345.6,347.0,345.6,346.95,436
2018-03-05 11:15:00,346.25,347.0,342.1,342.3,5563
2018-03-05 11:30:00,342.3,343.65,342.0,342.0,1909
2018-03-05 11:45:00,342.0,342.85,341.8,342.25,818
2018-03-05 12:00:00,342.25,342.9,338.85,340.45,5543
2018-03-05 12:15:00,340.05,341.2,337.45,338.35,3922
2018-03-05 12:30:00,338.35,338.35,336.3,336.5,1580
2018-03-05 12:45:00,337.25,338.0,336.5,337.4,1614
2018-03-05 13:00:00,337.35,338.7,337.35,338.1,2102
2018-03-05 13:15:00,338.1,338.8,337.5,337.55,2294
2018-03-05 13:30:00,337.55,338.8,337.5,338.05,2085
2018-03-05 13:45:00,338.05,338.8,338.05,338.75,1253
2018-03-05 14:00:00,338.75,338.8,338.15,338.3,2017
2018-03-05 14:15:00,338.3,338.9,336.4,337.6,2511
2018-03-05 14:30:00,337.6,337.9,336.6,337.85,1035
2018-03-05 14:45:00,337.25,337.8,337.2,337.7,809
2018-03-05 15:00:00,336.75,337.0,335.35,336.3,4648
2018-03-05 15:15:00,336.3,338.9,335.1,338.8,10839
2018-03-06 09:15:00,339.75,343.6,340.0,343.0,2428
2018-03-06 09:30:00,343.0,343.65,340.8,342.05,3269
2018-03-06 09:45:00,342.05,344.0,342.0,344.0,2617
2018-03-06 10:00:00,344.0,345.25,343.45,344.65,61626
2018-03-06 10:15:00,344.65,345.25,343.5,344.95,4398
2018-03-06 10:30:00,344.95,345.35,343.45,344.95,4115
2018-03-06 10:45:00,344.95,346.8,344.35,346.45,3039
2018-03-06 11:00:00,346.0,348.45,345.6,347.45,4660
2018-03-06 11:15:00,347.45,349.0,347.45,348.6,7673
2018-03-06 11:30:00,348.6,351.8,347.2,348.05,8202
2018-03-06 11:45:00,348.05,349.95,346.55,348.3,43142
2018-03-06 12:00:00,348.3,350.0,347.65,349.25,5762
2018-03-06 12:15:00,349.25,349.75,348.15,348.85,4059
2018-03-06 12:30:00,348.85,350.0,347.35,349.85,3659
2018-03-06 12:45:00,349.9,349.9,347.5,348.9,11255
2018-03-06 13:00:00,348.9,349.45,348.2,349.4,3280
2018-03-06 13:15:00,349.4,352.0,349.35,351.55,4758
2018-03-06 13:30:00,351.55,352.0,350.1,350.2,2443
2018-03-06 13:45:00,350.2,350.75,350.0,350.0,5743
2018-03-06 14:00:00,350.0,350.75,350.0,350.0,20293
2018-03-06 14:15:00,350.2,350.6,349.4,350.25,17249
