Date,Open,High,Low,Close,Volume
2021-02-03 09:30:00,618.8,618.8,618.8,618.8,2442406
2021-02-03 09:45:00,618.8,618.8,618.8,618.8,0
2021-02-03 10:00:00,631.15,640.0,580.55,604.0,8284364
2021-02-03 10:15:00,604.35,606.9,588.05,591.8,1381651
2021-02-03 10:30:00,591.8,592.85,568.0,576.75,1848061
2021-02-03 10:45:00,576.65,578.0,567.1,571.5,616654
2021-02-03 11:00:00,571.0,572.0,565.0,570.25,695200
2021-02-03 11:15:00,570.25,593.0,569.5,587.15,1019868
2021-02-03 11:30:00,587.15,590.8,580.55,588.8,330267
2021-02-03 11:45:00,588.85,600.0,587.6,596.25,795671
2021-02-03 12:00:00,596.7,601.05,583.9,588.25,442519
2021-02-03 12:15:00,588.35,592.8,585.0,588.15,201293
2021-02-03 12:30:00,588.3,589.75,581.25,586.65,166184
2021-02-03 12:45:00,586.45,586.8,581.2,581.7,144185
2021-02-03 13:00:00,581.95,583.85,576.4,578.6,376727
2021-02-03 13:15:00,578.5,580.0,572.9,574.9,325988
2021-02-03 13:30:00,574.9,579.3,574.0,574.9,212053
2021-02-03 13:45:00,574.7,575.5,561.3,570.85,461609
2021-02-03 14:00:00,570.6,572.5,568.6,568.75,220397
2021-02-03 14:15:00,568.8,571.0,560.0,565.25,467344
2021-02-03 14:30:00,565.25,565.55,537.35,545.3,1292562
2021-02-03 14:45:00,545.25,545.25,525.0,540.45,1256511
2021-02-03 15:00:00,539.95,542.05,525.6,529.2,618151
2021-02-03 15:15:00,529.4,530.4,522.0,522.8,923426
2021-02-04 09:15:00,517.8,543.0,515.0,535.8,923590
2021-02-04 09:30:00,535.8,548.85,533.25,544.75,547355
2021-02-04 09:45:00,544.25,591.6,542.15,576.55,1828512
2021-02-04 10:00:00,576.65,589.75,572.65,585.4,783368
2021-02-04 10:15:00,585.3,593.65,575.25,578.4,596192
2021-02-04 10:30:00,578.7,580.0,566.0,578.1,416913
2021-02-04 10:45:00,577.55,577.55,570.1,573.45,112596
2021-02-04 11:00:00,573.45,580.95,573.2,575.25,148582
2021-02-04 11:15:00,575.1,578.0,573.35,576.5,66084
2021-02-04 11:30:00,576.5,580.0,568.35,575.0,96783
2021-02-04 11:45:00,575.15,580.0,571.1,576.25,99733
2021-02-04 12:00:00,576.25,585.0,575.7,579.45,186988
2021-02-04 12:15:00,579.15,585.55,578.0,580.4,135293
2021-02-04 12:30:00,580.8,580.9,576.0,576.5,69170
2021-02-04 12:45:00,576.5,576.6,571.0,574.0,81359
2021-02-04 13:00:00,574.0,580.0,570.15,576.25,100111
2021-02-04 13:15:00,576.25,576.95,567.4,569.35,119434
2021-02-04 13:30:00,569.1,574.0,569.0,569.45,66532
2021-02-04 13:45:00,569.4,571.0,562.75,564.15,127069
2021-02-04 14:00:00,564.6,565.9,561.65,564.95,82566
2021-02-04 14:15:00,564.8,565.7,548.65,554.6,282671
2021-02-04 14:30:00,554.6,554.6,547.6,551.6,127069
2021-02-04 14:45:00,551.6,563.0,551.3,557.3,208041
2021-02-04 15:00:00,557.45,564.0,556.4,561.55,104389
2021-02-04 15:15:00,561.5,563.0,557.65,562.65,182804
2021-02-05 09:15:00,570.0,576.0,563.45,568.0,233870
2021-02-05 09:30:00,568.0,568.9,563.0,563.8,77743
2021-02-05 09:45:00,563.5,566.0,560.7,560.9,69583
2021-02-05 10:00:00,560.8,563.4,555.6,556.05,60703
2021-02-05 10:15:00,556.0,556.0,551.2,554.95,86360
2021-02-05 10:30:00,554.95,562.85,552.35,554.5,80833
2021-02-05 10:45:00,554.5,554.6,552.0,553.35,38962
2021-02-05 11:00:00,553.0,554.7,552.1,554.4,16620
2021-02-05 11:15:00,554.4,556.0,552.8,555.1,24717
2021-02-05 11:30:00,555.05,555.7,553.05,553.9,14584
2021-02-05 11:45:00,553.9,553.9,547.3,550.75,76769
2021-02-05 12:00:00,550.65,554.55,550.25,554.0,17325
2021-02-05 12:15:00,554.0,554.75,551.6,552.05,15577
2021-02-05 12:30:00,552.05,552.95,550.1,552.5,13191
2021-02-05 12:45:00,552.5,553.5,552.05,552.7,10138
2021-02-05 13:00:00,552.7,554.0,548.0,548.75,22538
2021-02-05 13:15:00,548.5,551.95,548.0,550.65,18577
2021-02-05 13:30:00,550.65,551.1,545.05,545.65,25728
2021-02-05 13:45:00,545.8,548.95,545.0,547.55,33770
