Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,867.0,867.0,860.25,862.0,15942
2018-03-01 09:30:00,862.0,862.05,859.0,859.85,9647
2018-03-01 09:45:00,860.0,861.0,858.2,859.75,6583
2018-03-01 10:00:00,860.0,860.5,859.0,859.0,3591
2018-03-01 10:15:00,858.55,859.0,858.5,859.0,2536
2018-03-01 10:30:00,859.0,859.25,857.0,858.6,4869
2018-03-01 10:45:00,858.6,859.0,858.3,859.0,1977
2018-03-01 11:00:00,859.0,859.0,858.65,859.0,2806
2018-03-01 11:15:00,859.0,859.0,858.9,859.0,2319
2018-03-01 11:30:00,859.0,859.1,858.75,858.95,2759
2018-03-01 11:45:00,858.95,859.1,858.65,859.0,3021
2018-03-01 12:00:00,859.0,859.0,858.7,859.0,2192
2018-03-01 12:15:00,859.0,859.0,858.95,859.0,2434
2018-03-01 12:30:00,859.0,859.1,858.4,858.7,2362
2018-03-01 12:45:00,858.7,859.15,855.5,857.55,4270
2018-03-01 13:00:00,857.55,858.0,857.1,858.0,1767
2018-03-01 13:15:00,858.0,858.0,856.25,856.5,2015
2018-03-01 13:30:00,856.5,857.15,856.5,857.0,2472
2018-03-01 13:45:00,857.0,857.0,856.6,857.0,2261
2018-03-01 14:00:00,857.0,857.1,856.6,857.0,2038
2018-03-01 14:15:00,857.0,857.2,855.5,856.95,57467
2018-03-01 14:30:00,857.0,857.1,855.1,855.15,10693
2018-03-01 14:45:00,855.15,856.05,850.7,855.2,8590
2018-03-01 15:00:00,855.0,855.8,853.0,854.95,5222
2018-03-01 15:15:00,854.95,857.0,852.5,857.0,10724
2018-03-05 09:15:00,854.85,867.0,854.2,865.4,27563
2018-03-05 09:30:00,865.35,865.35,862.05,863.95,17855
2018-03-05 09:45:00,864.0,864.0,863.1,863.95,11448
2018-03-05 10:00:00,863.95,864.15,863.2,864.0,8932
2018-03-05 10:15:00,864.0,864.1,863.05,864.0,13385
2018-03-05 10:30:00,864.0,864.0,863.3,864.0,9794
2018-03-05 10:45:00,864.0,864.1,863.55,864.0,9817
2018-03-05 11:00:00,864.0,864.0,863.75,864.0,9913
2018-03-05 11:15:00,864.0,864.0,863.25,863.25,8209
2018-03-05 11:30:00,863.95,864.05,863.2,864.0,7511
2018-03-05 11:45:00,864.0,864.0,863.45,864.0,8437
2018-03-05 12:00:00,864.0,864.05,863.1,864.0,10397
2018-03-05 12:15:00,864.0,864.0,861.05,863.0,14512
2018-03-05 12:30:00,863.0,863.5,862.0,862.95,14893
2018-03-05 12:45:00,862.95,862.95,860.0,860.95,25361
2018-03-05 13:00:00,860.95,860.95,859.3,859.95,11736
2018-03-05 13:15:00,859.95,860.1,858.9,859.0,10373
2018-03-05 13:30:00,859.0,859.85,858.85,859.4,10372
2018-03-05 13:45:00,859.4,859.5,858.2,858.55,10369
2018-03-05 14:00:00,858.55,859.75,856.5,857.95,12524
2018-03-05 14:15:00,857.95,858.0,857.45,857.85,10516
2018-03-05 14:30:00,857.85,858.2,857.3,857.45,10635
2018-03-05 14:45:00,857.4,860.1,857.4,859.95,13272
2018-03-05 15:00:00,860.0,860.0,856.85,857.8,17295
2018-03-05 15:15:00,857.75,858.5,856.1,857.5,21673
2018-03-06 09:15:00,864.9,863.0,855.0,857.6,18189
2018-03-06 09:30:00,857.6,860.0,856.8,860.0,6943
2018-03-06 09:45:00,860.0,860.05,855.0,856.45,6658
2018-03-06 10:00:00,856.45,858.6,855.6,857.0,3929
2018-03-06 10:15:00,857.0,858.6,856.95,857.0,3719
2018-03-06 10:30:00,857.0,859.8,857.0,858.6,2958
2018-03-06 10:45:00,858.6,859.95,858.15,859.3,2835
2018-03-06 11:00:00,859.3,859.55,857.6,858.6,2002
2018-03-06 11:15:00,858.6,859.95,857.65,858.0,1620
2018-03-06 11:30:00,858.0,859.5,857.55,859.4,2081
2018-03-06 11:45:00,859.4,859.95,859.2,859.95,1205
2018-03-06 12:00:00,859.95,859.95,857.75,858.0,2794
2018-03-06 12:15:00,857.8,858.2,857.7,857.95,2156
2018-03-06 12:30:00,857.95,858.15,857.75,858.0,11440
2018-03-06 12:45:00,858.0,858.0,857.75,858.0,8799
2018-03-06 13:00:00,858.0,858.45,856.0,856.45,104416
2018-03-06 13:15:00,856.0,857.55,856.0,856.45,6793
2018-03-06 13:30:00,856.45,856.45,850.35,853.0,10614
2018-03-06 13:45:00,852.8,853.2,852.0,852.9,7537
2018-03-06 14:00:00,852.75,853.15,851.5,851.95,7927
2018-03-06 14:15:00,851.95,852.0,850.6,851.05,5846
2018-03-06 14:30:00,851.05,851.15,845.85,849.85,9395
2018-03-06 14:45:00,849.85,849.85,846.45,848.0,10469
2018-03-06 15:00:00,848.0,848.85,847.35,847.5,18335
2018-03-06 15:15:00,846.05,848.8,842.05,843.0,24176
2018-03-07 09:15:00,843.8,849.0,841.0,846.2,16255
2018-03-07 09:30:00,846.2,849.05,842.75,849.05,19695
2018-03-07 09:45:00,849.75,856.15,848.95,855.0,31668
2018-03-07 10:00:00,855.0,856.4,852.5,854.35,16160
2018-03-07 10:15:00,854.35,857.4,853.0,855.75,14411
2018-03-07 10:30:00,855.8,857.0,853.55,854.1,10137
2018-03-07 10:45:00,854.1,855.7,854.05,854.9,7773
2018-03-07 11:00:00,854.9,855.05,841.5,845.45,21296
2018-03-07 11:15:00,844.8,848.8,842.5,846.75,11554
2018-03-07 11:30:00,846.75,847.4,842.2,843.6,11770
2018-03-07 11:45:00,843.95,844.0,842.0,843.9,8381
2018-03-07 12:00:00,843.9,844.0,842.5,843.8,9042
2018-03-07 12:15:00,843.8,844.0,842.8,843.0,9322
2018-03-07 12:30:00,843.0,843.0,842.65,842.95,16985
2018-03-07 12:45:00,842.95,843.4,842.9,843.0,9914
2018-03-07 13:00:00,843.0,843.0,842.9,842.9,7744
2018-03-07 13:15:00,842.9,843.0,842.55,843.0,7205
2018-03-07 13:30:00,843.0,843.0,842.5,842.95,6660
2018-03-07 13:45:00,842.85,843.0,842.5,843.0,6025
2018-03-07 14:00:00,843.0,845.0,842.5,843.5,8404
2018-03-07 14:15:00,843.5,843.55,842.65,842.95,7170
2018-03-07 14:30:00,842.95,843.0,840.6,842.75,6789
2018-03-07 14:45:00,842.9,843.0,841.55,841.55,128388
2018-03-07 15:00:00,842.85,843.0,840.1,842.15,9496
2018-03-07 15:15:00,842.15,843.0,835.0,841.1,13228
2018-03-08 09:15:00,850.0,850.35,838.65,842.15,13103
2018-03-08 09:30:00,842.15,847.0,841.65,846.35,11195
2018-03-08 09:45:00,846.35,846.8,841.9,843.5,8160
2018-03-08 10:00:00,844.0,847.5,842.55,846.8,7182
2018-03-08 10:15:00,846.8,847.0,844.2,845.15,4578
2018-03-08 10:30:00,845.25,846.9,844.35,846.05,3655
2018-03-08 10:45:00,846.05,847.0,845.15,846.35,4229
2018-03-08 11:00:00,846.35,847.0,844.0,845.4,4338
2018-03-08 11:15:00,845.6,846.55,844.1,845.15,4272
2018-03-08 11:30:00,845.15,848.75,845.15,848.5,9896
2018-03-08 11:45:00,848.5,849.05,846.65,848.5,5891
2018-03-08 12:00:00,849.05,849.9,845.75,846.1,5103
2018-03-08 12:15:00,846.1,846.5,843.25,843.85,2929
2018-03-08 12:30:00,843.85,844.15,842.8,843.0,3121
2018-03-08 12:45:00,843.0,844.7,842.8,842.8,3055
2018-03-08 13:00:00,842.8,843.0,842.15,842.9,2223
2018-03-08 13:15:00,842.9,843.95,842.15,843.75,1972
2018-03-08 13:30:00,842.95,843.0,842.75,842.85,1489
2018-03-08 13:45:00,842.85,843.0,840.05,840.4,2745
2018-03-08 14:00:00,840.2,840.2,839.15,839.85,2354
