Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,713.0,717.95,711.25,717.5,753
2018-03-01 09:30:00,715.8,721.05,715.35,721.0,2373
2018-03-01 09:45:00,721.0,722.0,720.0,720.0,898
2018-03-01 10:00:00,720.0,720.8,720.0,720.0,1564
2018-03-01 10:15:00,720.0,720.95,720.0,720.05,513
2018-03-01 10:30:00,720.05,720.55,720.0,720.0,424
2018-03-01 10:45:00,720.0,721.0,720.0,720.35,660
2018-03-01 11:00:00,720.25,720.25,720.0,720.0,340
2018-03-01 11:15:00,720.0,721.7,720.0,720.05,565
2018-03-01 11:30:00,720.05,720.4,720.05,720.05,276
2018-03-01 11:45:00,720.05,721.1,720.0,721.1,1143
2018-03-01 12:00:00,721.1,721.5,720.05,720.95,858
2018-03-01 12:15:00,720.95,721.45,720.1,720.3,975
2018-03-01 12:30:00,720.3,721.5,720.1,721.5,381
2018-03-01 12:45:00,721.5,721.5,720.1,721.0,133
2018-03-01 13:00:00,721.0,721.0,720.05,720.1,310
2018-03-01 13:15:00,720.1,720.8,720.0,720.0,797
2018-03-01 13:30:00,720.0,725.0,720.0,725.0,4865
2018-03-01 13:45:00,722.2,724.2,718.3,718.7,478
2018-03-01 14:00:00,718.7,720.0,717.05,717.05,869
2018-03-01 14:15:00,717.05,718.0,716.1,716.55,112
2018-03-01 14:30:00,716.55,716.55,712.0,712.0,1527
2018-03-01 14:45:00,712.0,717.4,711.5,714.5,534
2018-03-01 15:00:00,714.5,714.5,712.0,712.0,660
2018-03-01 15:15:00,712.0,713.95,706.1,706.2,3254
2018-03-05 09:15:00,710.05,716.0,705.65,707.2,2582
2018-03-05 09:30:00,707.2,707.95,706.8,707.6,1142
2018-03-05 09:45:00,707.6,708.9,707.0,708.4,856
2018-03-05 10:00:00,708.4,708.4,706.8,706.8,946
2018-03-05 10:15:00,706.8,707.8,706.8,707.8,689
2018-03-05 10:30:00,707.0,707.05,706.6,707.0,546
2018-03-05 10:45:00,707.0,707.65,707.0,707.05,499
2018-03-05 11:00:00,707.05,710.55,707.05,710.55,1342
2018-03-05 11:15:00,710.55,710.9,710.0,710.0,500
2018-03-05 11:30:00,710.0,710.35,710.0,710.35,530
2018-03-05 11:45:00,710.35,710.55,709.5,710.35,703
2018-03-05 12:00:00,710.25,710.3,710.0,710.15,378
2018-03-05 12:15:00,710.0,710.65,709.25,710.3,468
2018-03-05 12:30:00,710.3,710.3,709.15,709.6,398
2018-03-05 12:45:00,709.6,710.2,709.0,710.0,25371
2018-03-05 13:00:00,710.0,710.0,708.05,708.1,2015
2018-03-05 13:15:00,708.0,710.0,707.6,710.0,1829
2018-03-05 13:30:00,710.0,710.0,708.5,708.5,240
2018-03-05 13:45:00,708.55,708.95,708.5,708.6,271
2018-03-05 14:00:00,709.75,709.75,708.5,708.6,193
2018-03-05 14:15:00,708.6,709.15,708.5,708.5,186
2018-03-05 14:30:00,708.95,709.95,708.5,708.5,227
2018-03-05 14:45:00,708.5,709.4,708.5,709.4,182
2018-03-05 15:00:00,709.4,709.4,705.0,705.2,944
2018-03-05 15:15:00,705.2,706.85,695.5,698.0,4641
2018-03-06 09:15:00,704.1,714.0,704.1,710.0,2017
2018-03-06 09:30:00,710.0,711.35,710.0,710.0,814
2018-03-06 09:45:00,710.05,711.9,710.0,710.25,729
2018-03-06 10:00:00,710.25,710.4,704.75,705.0,974
2018-03-06 10:15:00,705.0,709.7,699.0,699.5,4407
2018-03-06 10:30:00,699.5,702.0,698.05,699.95,1563
2018-03-06 10:45:00,699.95,700.0,698.2,698.2,282
2018-03-06 11:00:00,698.2,700.0,698.2,700.0,251
2018-03-06 11:15:00,700.0,700.0,698.75,698.8,303
2018-03-06 11:30:00,700.0,700.0,698.0,698.15,1284
2018-03-06 11:45:00,698.15,699.4,698.1,699.4,230
2018-03-06 12:00:00,699.4,699.9,698.0,698.0,481
2018-03-06 12:15:00,698.0,700.0,698.0,698.0,575
2018-03-06 12:30:00,698.0,698.0,697.35,698.0,77
2018-03-06 12:45:00,698.0,699.0,697.0,697.05,302
2018-03-06 13:00:00,697.05,698.8,697.0,697.0,161
2018-03-06 13:15:00,697.0,697.8,693.8,695.0,1334
2018-03-06 13:30:00,695.0,697.45,693.0,693.55,514
2018-03-06 13:45:00,693.55,693.7,693.5,693.55,113
2018-03-06 14:00:00,693.55,694.95,693.55,694.8,151
2018-03-06 14:15:00,694.8,695.0,690.05,693.0,1032
2018-03-06 14:30:00,693.0,693.0,690.0,690.1,607
2018-03-06 14:45:00,690.1,690.7,680.0,680.0,3796
2018-03-06 15:00:00,680.0,680.0,663.85,673.0,5290
2018-03-06 15:15:00,673.0,681.95,665.1,680.0,6277
2018-03-07 09:15:00,680.0,684.5,670.0,673.6,2169
2018-03-07 09:30:00,673.6,673.95,671.9,673.25,674
2018-03-07 09:45:00,673.25,678.0,672.5,677.0,750
2018-03-07 10:00:00,677.0,682.1,677.0,679.0,1665
2018-03-07 10:15:00,679.0,679.0,675.0,679.0,774
2018-03-07 10:30:00,679.0,682.1,679.0,681.0,132
2018-03-07 10:45:00,682.1,683.85,681.0,682.7,985
