Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,838.0,837.0,823.5,826.5,16684
2018-03-01 09:30:00,826.0,826.4,819.0,819.25,7711
2018-03-01 09:45:00,819.25,819.95,815.1,816.0,12497
2018-03-01 10:00:00,816.0,817.0,810.0,811.25,8981
2018-03-01 10:15:00,811.4,813.7,810.95,812.5,4692
2018-03-01 10:30:00,812.35,819.0,812.0,818.9,3716
2018-03-01 10:45:00,818.9,818.9,812.8,814.0,9969
2018-03-01 11:00:00,814.0,814.65,807.0,809.95,8766
2018-03-01 11:15:00,809.95,809.95,803.7,805.05,13039
2018-03-01 11:30:00,805.05,806.05,796.35,796.35,17545
2018-03-01 11:45:00,797.95,800.9,796.35,799.75,10147
2018-03-01 12:00:00,799.75,814.55,799.75,806.9,15190
2018-03-01 12:15:00,806.9,806.9,800.05,800.15,7147
2018-03-01 12:30:00,800.15,803.0,800.15,801.0,2888
2018-03-01 12:45:00,801.0,802.8,800.05,801.8,3218
2018-03-01 13:00:00,802.0,803.7,800.1,803.2,2907
2018-03-01 13:15:00,803.2,808.35,801.0,801.0,7031
2018-03-01 13:30:00,801.0,804.0,796.75,800.0,6349
2018-03-01 13:45:00,800.0,803.95,798.05,801.65,4789
2018-03-01 14:00:00,801.65,803.75,797.0,798.0,4588
2018-03-01 14:15:00,798.0,803.0,797.05,802.5,5951
2018-03-01 14:30:00,802.5,802.5,799.0,800.85,3510
2018-03-01 14:45:00,799.6,802.0,799.25,800.65,2787
2018-03-01 15:00:00,800.65,800.65,795.5,796.8,11102
2018-03-01 15:15:00,796.8,799.25,792.1,795.0,16281
2018-03-05 09:15:00,797.5,805.15,797.5,805.0,6397
2018-03-05 09:30:00,804.1,805.0,801.5,801.5,3285
2018-03-05 09:45:00,801.5,806.95,800.0,806.8,3589
2018-03-05 10:00:00,806.8,806.9,802.35,802.5,4774
2018-03-05 10:15:00,802.5,803.75,799.1,801.45,4084
2018-03-05 10:30:00,801.45,802.4,798.5,801.0,2347
2018-03-05 10:45:00,801.0,804.7,800.05,803.0,5228
2018-03-05 11:00:00,803.0,804.55,802.55,803.15,5541
2018-03-05 11:15:00,803.15,804.9,802.3,802.8,6075
2018-03-05 11:30:00,802.8,806.85,802.8,806.0,13244
2018-03-05 11:45:00,805.9,806.95,804.4,805.15,10753
2018-03-05 12:00:00,805.15,806.9,804.7,806.85,8280
2018-03-05 12:15:00,806.85,807.0,805.6,806.25,15558
2018-03-05 12:30:00,806.25,806.95,805.05,806.0,1864
2018-03-05 12:45:00,806.75,806.75,805.1,805.25,1301
2018-03-05 13:00:00,806.0,806.0,804.4,805.0,759
2018-03-05 13:15:00,805.0,805.8,800.35,803.85,1150
2018-03-05 13:30:00,803.85,804.1,803.15,803.35,522
2018-03-05 13:45:00,803.35,804.2,802.5,803.95,925
2018-03-05 14:00:00,804.0,804.2,803.05,803.55,5487
2018-03-05 14:15:00,803.6,806.0,803.6,804.6,12918
2018-03-05 14:30:00,804.6,805.0,800.55,800.55,1589
2018-03-05 14:45:00,800.55,802.0,793.5,793.5,9262
2018-03-05 15:00:00,793.55,794.8,792.0,792.1,6563
2018-03-05 15:15:00,792.65,795.7,791.0,793.0,7575
2018-03-06 09:15:00,802.0,802.0,797.35,800.95,5613
2018-03-06 09:30:00,800.95,802.8,800.0,802.0,5107
2018-03-06 09:45:00,803.0,806.7,802.35,804.65,6095
2018-03-06 10:00:00,805.0,805.4,802.6,805.2,1518
2018-03-06 10:15:00,805.2,805.9,803.0,805.5,5128
2018-03-06 10:30:00,805.5,805.5,803.25,805.4,4358
2018-03-06 10:45:00,805.35,806.0,804.1,805.1,1982
2018-03-06 11:00:00,805.1,806.0,804.15,805.95,4542
2018-03-06 11:15:00,805.95,806.7,804.6,805.0,2015
2018-03-06 11:30:00,805.0,807.0,805.0,805.9,1502
2018-03-06 11:45:00,805.9,812.9,805.9,811.65,11833
2018-03-06 12:00:00,811.65,812.9,806.0,808.15,6426
2018-03-06 12:15:00,808.15,808.95,805.0,807.85,6643
2018-03-06 12:30:00,807.85,808.0,806.0,807.95,1340
2018-03-06 12:45:00,807.95,810.0,807.95,809.95,1715
2018-03-06 13:00:00,809.95,809.95,806.55,807.0,1528
2018-03-06 13:15:00,807.0,810.0,807.0,810.0,4484
2018-03-06 13:30:00,809.0,809.95,807.3,808.8,3192
2018-03-06 13:45:00,808.8,809.6,806.5,807.1,1080
2018-03-06 14:00:00,807.1,809.0,804.1,804.85,3973
2018-03-06 14:15:00,804.85,807.65,795.55,798.0,5397
2018-03-06 14:30:00,798.0,800.85,797.0,800.1,705
2018-03-06 14:45:00,800.1,800.1,795.05,796.25,2627
2018-03-06 15:00:00,796.25,798.3,793.15,797.0,4310
2018-03-06 15:15:00,797.0,798.3,789.0,798.3,9812
2018-03-07 09:15:00,798.3,800.0,795.05,799.6,2435
2018-03-07 09:30:00,799.6,799.6,797.3,797.35,836
2018-03-07 09:45:00,797.35,798.4,795.4,796.1,1622
2018-03-07 10:00:00,796.1,797.25,794.45,794.5,3354
2018-03-07 10:15:00,794.5,796.9,794.45,795.95,386
2018-03-07 10:30:00,795.95,795.95,793.4,795.1,1189
2018-03-07 10:45:00,795.1,796.8,793.9,795.9,973
2018-03-07 11:00:00,795.9,795.9,794.0,795.75,373
2018-03-07 11:15:00,795.75,796.6,793.85,794.7,1618
2018-03-07 11:30:00,794.7,796.65,793.05,795.9,1964
2018-03-07 11:45:00,795.9,796.0,793.25,796.0,582
2018-03-07 12:00:00,796.0,799.75,796.0,796.5,14443
2018-03-07 12:15:00,796.5,800.55,795.0,796.1,5641
2018-03-07 12:30:00,796.1,798.95,795.25,796.7,1324
2018-03-07 12:45:00,796.7,798.15,796.2,798.05,1401
2018-03-07 13:00:00,798.05,799.0,797.0,798.8,1095
2018-03-07 13:15:00,798.8,807.7,798.75,802.1,9311
2018-03-07 13:30:00,803.0,806.0,802.2,804.0,5951
2018-03-07 13:45:00,804.0,805.95,803.35,805.0,3545
2018-03-07 14:00:00,805.0,806.0,802.0,803.5,7694
2018-03-07 14:15:00,803.5,805.0,802.65,804.7,1671
2018-03-07 14:30:00,804.7,804.9,801.5,801.5,2174
2018-03-07 14:45:00,801.05,803.25,799.3,800.4,1325
2018-03-07 15:00:00,800.4,804.9,800.4,804.6,11010
2018-03-07 15:15:00,804.0,805.5,801.75,804.0,7914
2018-03-08 09:15:00,807.8,809.0,805.5,808.1,2818
2018-03-08 09:30:00,808.9,809.0,803.5,804.0,1132
2018-03-08 09:45:00,804.75,806.95,803.5,804.3,1638
2018-03-08 10:00:00,804.7,806.0,803.0,804.0,2157
2018-03-08 10:15:00,804.0,804.0,802.6,803.0,796
2018-03-08 10:30:00,803.0,803.85,800.0,800.0,2757
2018-03-08 10:45:00,800.0,800.0,798.0,799.0,1203
2018-03-08 11:00:00,799.0,804.95,799.0,804.95,4007
2018-03-08 11:15:00,804.95,805.0,803.5,804.0,10106
2018-03-08 11:30:00,804.0,805.8,804.0,805.8,4662
2018-03-08 11:45:00,805.8,808.6,805.25,806.3,15164
2018-03-08 12:00:00,806.3,807.7,805.6,806.0,1190
2018-03-08 12:15:00,806.0,808.8,806.0,807.95,7312
2018-03-08 12:30:00,807.95,809.0,806.5,807.15,6997
2018-03-08 12:45:00,807.15,810.0,807.15,810.0,2385
2018-03-08 13:00:00,810.0,811.0,808.25,809.5,7246
2018-03-08 13:15:00,809.5,814.6,809.0,810.0,2679
2018-03-08 13:30:00,810.0,814.0,810.0,811.75,8919
2018-03-08 13:45:00,811.75,813.95,811.0,812.8,1693
2018-03-08 14:00:00,812.8,814.0,811.25,813.1,7063
2018-03-08 14:15:00,813.3,814.0,812.35,813.95,1275
2018-03-08 14:30:00,813.95,816.85,812.35,814.0,5925
2018-03-08 14:45:00,814.0,815.8,813.05,813.55,968
