Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,72.48,72.48,71.9,72.25,14520
2018-03-01 09:30:00,72.25,72.25,71.6,71.73,6848
2018-03-01 09:45:00,71.73,72.0,71.58,71.58,6788
2018-03-01 10:00:00,71.6,71.83,71.58,71.78,4068
2018-03-01 10:15:00,71.78,71.8,71.7,71.73,480
2018-03-01 10:30:00,71.73,71.8,71.73,71.73,612
2018-03-01 10:45:00,71.73,71.8,71.65,71.8,2064
2018-03-01 11:00:00,71.8,71.8,71.65,71.68,3428
2018-03-01 11:15:00,71.68,71.7,71.2,71.35,6456
2018-03-01 11:30:00,71.2,71.35,71.13,71.3,5528
2018-03-01 11:45:00,71.23,71.28,70.8,70.8,4852
2018-03-01 12:00:00,70.78,70.98,70.73,70.75,6096
2018-03-01 12:15:00,70.75,70.88,70.0,70.5,3831300
2018-03-01 12:30:00,70.53,70.53,70.28,70.35,45744
2018-03-01 12:45:00,70.35,70.38,70.13,70.33,21728
2018-03-01 13:00:00,70.33,70.38,70.05,70.25,347396
2018-03-01 13:15:00,70.25,70.9,70.25,70.78,46424
2018-03-01 13:30:00,70.78,70.78,70.55,70.65,2536
2018-03-01 13:45:00,70.63,70.7,70.35,70.53,7712
2018-03-01 14:00:00,70.53,70.55,70.35,70.5,21028
2018-03-01 14:15:00,70.5,70.83,70.45,70.75,257440
2018-03-01 14:30:00,70.75,70.78,70.38,70.55,129136
2018-03-01 14:45:00,70.55,70.7,70.5,70.6,41292
2018-03-01 15:00:00,70.6,70.73,70.5,70.6,24548
2018-03-01 15:15:00,70.6,70.8,70.35,70.5,140920
2018-03-05 09:15:00,70.5,70.43,70.0,70.2,11956
2018-03-05 09:30:00,70.2,71.35,70.05,71.23,23804
2018-03-05 09:45:00,71.23,71.4,70.55,71.0,29876
2018-03-05 10:00:00,71.0,71.08,70.13,70.25,22820
2018-03-05 10:15:00,70.23,70.25,70.0,70.25,14808
2018-03-05 10:30:00,70.25,70.6,70.08,70.5,10964
2018-03-05 10:45:00,70.5,70.58,69.55,70.0,149976
2018-03-05 11:00:00,70.0,70.0,69.85,69.95,44852
2018-03-05 11:15:00,69.9,70.33,69.9,70.3,109648
2018-03-05 11:30:00,70.28,70.3,70.0,70.0,18220
2018-03-05 11:45:00,70.0,70.25,69.68,70.0,1195304
2018-03-05 12:00:00,69.98,70.0,69.65,70.0,21688
2018-03-05 12:15:00,70.0,70.08,69.85,69.88,15104
2018-03-05 12:30:00,70.0,70.0,69.53,69.75,19068
2018-03-05 12:45:00,69.73,70.0,69.73,70.0,11780
2018-03-05 13:00:00,70.0,70.0,69.78,69.78,9892
2018-03-05 13:15:00,69.78,70.0,69.78,70.0,11956
2018-03-05 13:30:00,70.0,70.0,69.9,69.95,9352
2018-03-05 13:45:00,69.95,70.0,69.85,69.98,9072
2018-03-05 14:00:00,69.98,70.0,69.78,69.9,9860
2018-03-05 14:15:00,69.98,70.0,69.88,70.0,10532
2018-03-05 14:30:00,69.95,70.0,69.9,69.95,8844
2018-03-05 14:45:00,69.95,70.0,69.88,69.95,9268
2018-03-05 15:00:00,69.95,70.03,69.85,69.93,29616
2018-03-05 15:15:00,69.93,70.03,69.35,70.0,58576
2018-03-06 09:15:00,70.73,71.48,70.58,71.05,25696
2018-03-06 09:30:00,71.05,71.23,70.8,70.88,18016
2018-03-06 09:45:00,70.88,70.98,70.6,70.7,28836
2018-03-06 10:00:00,70.7,70.8,70.65,70.8,21596
2018-03-06 10:15:00,70.8,70.8,70.75,70.75,19372
2018-03-06 10:30:00,70.75,70.8,70.38,70.75,22244
2018-03-06 10:45:00,70.75,70.8,70.5,70.65,13044
2018-03-06 11:00:00,70.63,70.83,70.63,70.73,10076
2018-03-06 11:15:00,70.73,70.75,70.38,70.53,35708
2018-03-06 11:30:00,70.45,70.68,70.4,70.5,34592
2018-03-06 11:45:00,70.5,70.5,70.4,70.45,2392
2018-03-06 12:00:00,70.4,70.58,70.4,70.45,38192
2018-03-06 12:15:00,70.45,70.45,70.15,70.15,5288
2018-03-06 12:30:00,70.15,70.25,69.93,69.98,11436
2018-03-06 12:45:00,69.98,70.0,69.9,69.98,1900
2018-03-06 13:00:00,69.98,70.0,69.9,69.95,2024
2018-03-06 13:15:00,69.95,70.0,69.9,69.9,1900
2018-03-06 13:30:00,69.9,71.23,69.78,70.7,239928
2018-03-06 13:45:00,70.7,70.7,69.88,70.05,32116
2018-03-06 14:00:00,70.05,70.05,69.78,69.9,2776
2018-03-06 14:15:00,69.9,70.0,69.85,69.95,428
2018-03-06 14:30:00,69.95,70.0,69.9,69.93,952
2018-03-06 14:45:00,69.9,69.9,69.65,69.75,7656
2018-03-06 15:00:00,69.75,70.0,69.6,69.75,8776
2018-03-06 15:15:00,69.93,70.03,69.75,69.85,31584
2018-03-07 09:15:00,68.53,69.93,67.98,68.8,42380
2018-03-07 09:30:00,68.8,69.25,68.35,68.35,10948
2018-03-07 09:45:00,68.35,68.68,68.08,68.18,17392
2018-03-07 10:00:00,68.23,68.23,66.93,67.18,32704
2018-03-07 10:15:00,67.18,68.6,67.18,68.03,24700
2018-03-07 10:30:00,68.03,68.33,67.65,67.95,13372
2018-03-07 10:45:00,67.93,68.0,67.75,67.75,6348
2018-03-07 11:00:00,67.75,67.93,67.35,67.88,15728
2018-03-07 11:15:00,67.88,67.88,67.35,67.53,8896
2018-03-07 11:30:00,67.53,67.7,66.58,66.9,25968
2018-03-07 11:45:00,67.0,68.0,66.78,67.68,18520
2018-03-07 12:00:00,67.68,67.85,67.5,67.58,7400
2018-03-07 12:15:00,67.58,67.68,67.1,67.43,7572
2018-03-07 12:30:00,67.48,67.5,66.95,67.5,11452
2018-03-07 12:45:00,67.5,67.88,67.5,67.85,6468
2018-03-07 13:00:00,67.83,67.83,67.75,67.75,1564
2018-03-07 13:15:00,67.75,67.83,67.75,67.83,2476
2018-03-07 13:30:00,67.83,67.83,66.55,66.88,23880
2018-03-07 13:45:00,66.9,67.3,66.48,66.68,64460
2018-03-07 14:00:00,66.7,67.1,66.38,66.78,35216
2018-03-07 14:15:00,66.78,66.98,66.45,66.55,13724
2018-03-07 14:30:00,66.65,67.03,66.0,66.08,20852
2018-03-07 14:45:00,66.25,66.48,64.93,65.45,91136
2018-03-07 15:00:00,65.63,66.1,65.45,65.63,35080
2018-03-07 15:15:00,65.65,67.35,64.78,67.08,118712
2018-03-08 09:15:00,66.28,68.9,66.3,68.48,45572
2018-03-08 09:30:00,68.48,69.25,68.05,68.93,73164
2018-03-08 09:45:00,68.88,68.88,68.28,68.3,62036
2018-03-08 10:00:00,68.25,68.58,68.05,68.45,39760
2018-03-08 10:15:00,68.45,68.53,67.43,67.45,53912
2018-03-08 10:30:00,67.38,67.55,67.25,67.45,15700
2018-03-08 10:45:00,67.45,68.28,67.35,68.28,17880
2018-03-08 11:00:00,68.28,69.05,68.2,68.7,73476
2018-03-08 11:15:00,68.7,68.85,68.35,68.35,49656
2018-03-08 11:30:00,68.35,68.75,68.33,68.75,14024
2018-03-08 11:45:00,68.65,68.73,68.58,68.6,11912
2018-03-08 12:00:00,68.58,68.68,68.38,68.6,8760
2018-03-08 12:15:00,68.65,69.1,68.58,69.03,20016
2018-03-08 12:30:00,69.03,69.18,68.93,68.98,14320
2018-03-08 12:45:00,69.0,69.45,68.95,69.05,38052
2018-03-08 13:00:00,69.05,69.1,68.73,68.88,14704
2018-03-08 13:15:00,68.85,69.18,68.68,68.88,12628
2018-03-08 13:30:00,68.88,68.95,68.8,68.88,10112
2018-03-08 13:45:00,68.88,69.08,68.8,68.95,7856
2018-03-08 14:00:00,68.95,69.18,68.95,69.03,6624
2018-03-08 14:15:00,69.03,69.18,68.9,69.1,8412
2018-03-08 14:30:00,69.15,69.43,69.0,69.43,22544
2018-03-08 14:45:00,69.43,69.75,68.88,69.05,61616
2018-03-08 15:00:00,69.18,69.23,68.9,68.98,49432
2018-03-08 15:15:00,68.98,69.75,68.78,69.53,77668
2018-03-09 09:15:00,69.98,71.0,69.05,69.4,74872
2018-03-09 09:30:00,69.35,69.58,69.25,69.3,31588
2018-03-09 09:45:00,69.3,69.4,68.28,68.33,49148
2018-03-09 10:00:00,68.33,68.48,68.1,68.45,28684
2018-03-09 10:15:00,68.43,68.75,68.3,68.4,23940
2018-03-09 10:30:00,68.4,68.55,68.38,68.4,11580
2018-03-09 10:45:00,68.4,68.45,68.3,68.45,12828
2018-03-09 11:00:00,68.43,68.5,68.25,68.3,7464
2018-03-09 11:15:00,68.38,68.5,68.3,68.48,4784
2018-03-09 11:30:00,68.48,68.55,68.43,68.48,11352
2018-03-09 11:45:00,68.48,68.5,68.45,68.48,5192
2018-03-09 12:00:00,68.48,68.95,68.48,68.85,4168
2018-03-09 12:15:00,68.85,68.93,68.35,68.38,12108
2018-03-09 12:30:00,68.38,68.45,68.18,68.2,23500
2018-03-09 12:45:00,68.13,68.3,68.13,68.3,6316
2018-03-09 13:00:00,68.3,68.68,68.3,68.53,5328
2018-03-09 13:15:00,68.53,68.55,68.28,68.28,8700
