Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,94.0,94.8,93.8,94.45,905918
2018-03-01 11:00:00,94.5,95.15,94.2,94.95,931445
2018-03-01 12:00:00,94.95,94.95,94.4,94.6,318833
2018-03-01 13:00:00,94.6,94.7,94.45,94.6,201904
2018-03-01 14:00:00,94.6,94.9,94.2,94.2,344852
2018-03-01 15:00:00,94.2,94.8,93.8,93.95,730139
2018-03-05 10:00:00,95.4,94.35,92.85,93.25,1443256
2018-03-05 11:00:00,93.3,93.35,92.25,92.35,673813
2018-03-05 12:00:00,92.4,92.75,92.0,92.1,714630
2018-03-05 13:00:00,92.1,92.85,92.05,92.25,887389
2018-03-05 14:00:00,92.25,92.75,92.05,92.7,540385
2018-03-05 15:00:00,92.7,92.9,92.2,92.85,869556
2018-03-06 10:00:00,93.45,94.4,93.5,93.5,1087502
2018-03-06 11:00:00,93.55,93.9,93.3,93.5,498634
2018-03-06 12:00:00,93.5,93.5,92.8,93.0,941746
2018-03-06 13:00:00,93.05,93.15,92.55,92.55,915715
2018-03-06 14:00:00,92.55,93.05,92.4,92.45,842375
2018-03-06 15:00:00,92.45,92.75,91.6,91.85,1373236
2018-03-07 10:00:00,91.0,91.0,90.35,91.0,1631671
2018-03-07 11:00:00,91.0,91.0,90.1,90.1,1014427
2018-03-07 12:00:00,90.1,90.45,89.75,90.0,1506426
2018-03-07 13:00:00,90.0,90.15,89.5,89.8,1185626
2018-03-07 14:00:00,89.75,90.0,89.5,89.75,834948
2018-03-07 15:00:00,89.75,89.95,89.5,89.65,1521495
2018-03-08 10:00:00,90.5,90.85,89.6,89.75,1341026
2018-03-08 11:00:00,89.75,90.6,89.3,90.5,1287510
2018-03-08 12:00:00,90.5,91.8,90.4,91.65,1005917
2018-03-08 13:00:00,91.65,92.25,91.65,91.85,1368844
2018-03-08 14:00:00,91.85,94.15,91.7,94.05,4099267
2018-03-08 15:00:00,94.05,94.4,92.8,93.0,3083515
2018-03-09 10:00:00,93.7,93.75,92.25,93.2,2082903
2018-03-09 11:00:00,93.2,93.4,92.4,92.5,925148
2018-03-09 12:00:00,92.5,93.15,92.25,92.95,728202
2018-03-09 13:00:00,92.95,93.35,92.65,93.1,700213
2018-03-09 14:00:00,93.1,93.85,92.95,93.85,1350323
2018-03-09 15:00:00,93.8,94.4,93.8,94.1,6550027
2018-03-12 10:00:00,94.4,94.8,93.85,94.1,1112088
2018-03-12 11:00:00,94.1,94.5,93.7,94.2,666901
2018-03-12 12:00:00,94.2,94.55,93.95,94.2,789138
2018-03-12 13:00:00,94.2,94.6,93.95,94.35,1445641
2018-03-12 14:00:00,94.35,94.5,94.0,94.25,751678
2018-03-12 15:00:00,94.25,94.5,94.15,94.35,1025274
2018-03-13 10:00:00,94.0,96.2,93.85,95.9,2331861
2018-03-13 11:00:00,95.9,96.25,95.4,95.75,2138162
2018-03-13 12:00:00,95.7,96.7,95.7,96.5,1196661
2018-03-13 13:00:00,96.5,97.35,96.45,96.9,1459313
2018-03-13 14:00:00,96.9,97.35,95.85,96.0,2847907
2018-03-13 15:00:00,95.95,96.5,95.65,96.1,2912813
2018-03-14 10:00:00,95.05,96.3,94.85,95.25,1321624
2018-03-14 11:00:00,95.25,95.35,94.75,95.05,836865
2018-03-14 12:00:00,95.05,95.1,94.3,94.9,1023170
2018-03-14 13:00:00,94.9,95.4,94.5,94.9,1129073
2018-03-14 14:00:00,94.9,95.0,94.2,94.3,826229
2018-03-14 15:00:00,94.3,94.95,93.85,94.85,1924304
2018-03-15 10:00:00,94.9,95.6,94.8,95.15,1051240
2018-03-15 11:00:00,95.15,95.15,94.1,94.35,751343
2018-03-15 12:00:00,94.35,94.65,94.2,94.5,539184
2018-03-15 13:00:00,94.5,94.6,94.1,94.25,558779
2018-03-15 14:00:00,94.25,94.45,93.45,93.6,1211635
2018-03-15 15:00:00,93.65,94.2,93.5,93.7,1090356
2018-03-16 10:00:00,93.7,94.3,93.7,93.95,914566
2018-03-16 11:00:00,93.95,94.3,93.7,94.15,713638
2018-03-16 12:00:00,94.15,94.2,93.75,93.9,449729
2018-03-16 13:00:00,93.9,94.95,93.75,94.7,926935
2018-03-16 14:00:00,94.7,94.75,93.75,93.95,682820
2018-03-16 15:00:00,93.9,94.1,93.25,93.3,2004123
2018-03-19 10:00:00,93.9,94.0,92.3,92.8,1002363
2018-03-19 11:00:00,92.8,92.85,92.0,92.25,526614
2018-03-19 12:00:00,92.3,92.55,91.65,91.9,568473
2018-03-19 13:00:00,91.9,91.95,91.1,91.35,699434
2018-03-19 14:00:00,91.35,91.7,90.8,91.0,886442
2018-03-19 15:00:00,91.1,91.2,90.4,90.8,1524070
2018-03-20 10:00:00,90.45,91.6,90.3,91.3,990811
2018-03-20 11:00:00,91.3,91.55,90.9,91.0,523021
2018-03-20 12:00:00,91.0,92.0,91.0,91.8,491152
2018-03-20 13:00:00,91.8,91.9,91.3,91.5,373636
2018-03-20 14:00:00,91.5,91.55,91.0,91.15,409356
2018-03-20 15:00:00,91.2,91.5,90.5,91.3,969759
2018-03-21 10:00:00,92.3,92.3,91.6,92.15,971578
2018-03-21 11:00:00,92.15,92.55,92.0,92.4,606315
2018-03-21 12:00:00,92.4,92.4,92.0,92.05,552485
2018-03-21 13:00:00,92.05,92.2,91.3,91.5,840693
2018-03-21 14:00:00,91.5,91.55,90.8,90.85,578171
2018-03-21 15:00:00,90.85,91.15,90.6,91.05,1069187
2018-03-22 10:00:00,91.45,91.55,90.8,91.1,951416
2018-03-22 11:00:00,91.1,91.25,90.8,91.15,381113
2018-03-22 12:00:00,91.2,91.4,90.9,91.15,703320
2018-03-22 13:00:00,91.2,91.5,91.05,91.05,453766
2018-03-22 14:00:00,91.15,91.3,90.75,90.95,554359
2018-03-22 15:00:00,91.05,91.2,90.55,90.85,1018419
2018-03-23 10:00:00,89.55,89.55,88.4,89.35,1862966
2018-03-23 11:00:00,89.35,90.0,88.75,89.65,1398268
2018-03-23 12:00:00,89.7,89.95,89.5,89.7,904835
2018-03-23 13:00:00,89.7,90.7,89.55,90.5,1142384
2018-03-23 14:00:00,90.5,91.0,90.25,90.7,1315024
2018-03-23 15:00:00,90.7,90.8,90.25,90.55,1181363
2018-03-26 10:00:00,90.7,91.05,90.1,90.25,1370785
2018-03-26 11:00:00,90.3,90.45,89.9,90.15,4437731
2018-03-26 12:00:00,90.15,90.55,89.75,90.35,898070
2018-03-26 13:00:00,90.35,90.85,90.2,90.65,895861
2018-03-26 14:00:00,90.65,91.5,90.5,91.3,843734
2018-03-26 15:00:00,91.25,91.75,91.1,91.5,3685329
2018-03-27 10:00:00,92.25,92.8,92.15,92.4,9551341
2018-03-27 11:00:00,92.4,92.95,91.0,91.2,2598492
2018-03-27 12:00:00,91.2,91.65,91.1,91.4,1568925
2018-03-27 13:00:00,91.4,91.8,91.3,91.45,1488849
2018-03-27 14:00:00,91.45,91.65,91.1,91.3,1485541
2018-03-27 15:00:00,91.3,91.4,90.6,90.95,1846110
2018-03-28 10:00:00,90.4,90.85,89.7,89.75,1729596
2018-03-28 11:00:00,89.75,90.25,89.5,90.15,1318727
2018-03-28 12:00:00,90.15,90.2,89.8,89.9,1066906
2018-03-28 13:00:00,90.0,90.05,89.65,89.7,420596
2018-03-28 14:00:00,89.65,90.05,89.3,89.85,792317
2018-03-28 15:00:00,89.85,90.0,89.05,89.05,2709657
2018-04-02 10:00:00,90.0,90.35,89.4,90.3,965200
2018-04-02 11:00:00,90.35,90.9,89.95,90.25,2518951
2018-04-02 12:00:00,90.3,90.45,89.7,90.35,1120489
2018-04-02 13:00:00,90.35,90.45,90.1,90.35,701863
2018-04-02 14:00:00,90.35,90.7,90.0,90.15,1582326
2018-04-02 15:00:00,90.15,90.55,89.8,90.25,1132747
2018-04-03 10:00:00,90.0,90.95,89.9,90.65,1026606
2018-04-03 11:00:00,90.65,90.7,90.2,90.45,645048
2018-04-03 12:00:00,90.5,90.5,90.3,90.5,4429284
2018-04-03 13:00:00,90.5,90.7,90.4,90.7,476799
2018-04-03 14:00:00,90.75,90.8,90.25,90.5,764964
2018-04-03 15:00:00,90.5,91.7,90.35,91.55,1229940
2018-04-04 10:00:00,92.25,92.6,91.8,92.35,2049906
2018-04-04 11:00:00,92.3,93.95,92.15,93.8,2421951
2018-04-04 12:00:00,93.8,93.8,93.1,93.45,1088290
2018-04-04 13:00:00,93.5,93.5,92.65,92.75,1053926
2018-04-04 14:00:00,92.8,92.8,91.55,92.1,2299708
2018-04-04 15:00:00,92.1,92.1,91.25,91.4,1468330
2018-04-05 10:00:00,92.7,93.6,92.45,92.7,1606362
2018-04-05 11:00:00,92.75,92.95,92.2,92.6,1417401
2018-04-05 12:00:00,92.6,92.8,92.15,92.55,890043
