Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,507.65,522.25,507.65,518.0,663581
2018-03-01 11:00:00,518.0,520.5,517.0,517.45,157116
2018-03-01 12:00:00,517.45,518.0,516.0,516.8,90179
2018-03-01 13:00:00,516.8,517.65,516.0,516.7,87095
2018-03-01 14:00:00,516.7,517.5,512.7,513.15,163497
2018-03-01 15:00:00,513.15,515.3,510.45,511.6,173117
2018-03-05 10:00:00,511.0,511.2,503.55,506.8,116277
2018-03-05 11:00:00,506.8,507.15,503.05,504.0,107090
2018-03-05 12:00:00,504.0,505.25,501.0,504.6,207509
2018-03-05 13:00:00,504.6,506.7,502.85,504.6,146779
2018-03-05 14:00:00,504.6,508.4,504.0,507.9,103023
2018-03-05 15:00:00,507.9,508.9,505.85,507.65,145151
2018-03-06 10:00:00,511.8,512.75,508.1,509.0,139004
2018-03-06 11:00:00,509.0,509.3,505.4,505.95,78502
2018-03-06 12:00:00,506.0,507.65,505.0,506.25,56021
2018-03-06 13:00:00,506.25,507.15,505.1,505.85,59966
2018-03-06 14:00:00,505.85,507.1,504.0,504.25,57416
2018-03-06 15:00:00,504.25,506.9,500.0,501.9,164410
2018-03-07 10:00:00,501.7,505.95,498.95,503.45,213985
2018-03-07 11:00:00,503.2,505.15,502.5,502.8,97077
2018-03-07 12:00:00,502.8,503.6,497.2,501.35,181915
2018-03-07 13:00:00,501.35,504.75,501.05,503.4,70659
2018-03-07 14:00:00,503.4,505.2,501.5,503.4,118096
2018-03-07 15:00:00,503.4,505.55,500.4,501.3,147965
2018-03-08 10:00:00,504.1,506.35,497.0,498.1,224587
2018-03-08 11:00:00,498.1,498.55,490.0,498.35,200404
2018-03-08 12:00:00,498.0,501.95,497.4,498.55,129453
2018-03-08 13:00:00,498.55,500.0,496.6,497.85,73230
2018-03-08 14:00:00,497.85,501.65,497.3,498.55,65956
2018-03-08 15:00:00,498.55,504.5,498.55,501.75,219160
2018-03-09 10:00:00,505.0,507.75,500.4,505.6,112822
2018-03-09 11:00:00,505.6,506.0,503.25,504.15,41030
2018-03-09 12:00:00,504.0,504.1,501.7,503.0,30498
2018-03-09 13:00:00,503.0,506.0,502.0,505.1,72770
2018-03-09 14:00:00,505.35,506.75,504.15,504.25,63602
2018-03-09 15:00:00,504.25,506.45,501.3,503.1,144538
2018-03-12 10:00:00,508.0,510.3,504.5,507.95,167559
2018-03-12 11:00:00,507.75,508.5,502.5,502.75,125108
2018-03-12 12:00:00,502.75,504.0,500.55,503.7,110881
2018-03-12 13:00:00,503.7,504.55,502.25,503.7,71207
2018-03-12 14:00:00,503.65,504.0,501.55,501.85,67182
2018-03-12 15:00:00,502.25,505.85,501.05,505.0,127265
2018-03-13 10:00:00,503.25,513.9,503.25,513.85,222138
2018-03-13 11:00:00,513.8,518.75,513.5,515.8,353820
2018-03-13 12:00:00,515.8,517.4,515.55,516.4,65710
2018-03-13 13:00:00,516.4,517.3,515.4,516.65,111966
2018-03-13 14:00:00,516.25,516.9,509.25,510.45,156653
2018-03-13 15:00:00,510.6,516.0,510.15,513.85,217205
2018-03-14 10:00:00,516.5,518.0,512.45,517.8,191808
2018-03-14 11:00:00,517.55,523.0,517.3,519.9,427406
2018-03-14 12:00:00,519.9,520.0,516.2,518.6,126837
2018-03-14 13:00:00,518.6,518.9,516.7,517.9,73618
2018-03-14 14:00:00,517.9,518.0,514.0,515.7,113669
2018-03-14 15:00:00,515.7,519.2,514.0,517.85,243564
2018-03-15 10:00:00,521.0,527.7,520.3,527.1,739261
2018-03-15 11:00:00,527.1,527.45,524.7,524.7,179111
2018-03-15 12:00:00,524.7,526.0,523.8,525.35,119865
2018-03-15 13:00:00,525.35,525.5,524.4,524.85,54725
2018-03-15 14:00:00,524.85,525.25,520.25,521.2,174952
2018-03-15 15:00:00,521.25,523.5,520.5,522.1,149172
2018-03-16 10:00:00,522.9,525.0,518.1,518.95,414620
2018-03-16 11:00:00,518.95,520.45,517.5,519.6,108510
2018-03-16 12:00:00,519.6,519.75,516.85,517.7,63686
2018-03-16 13:00:00,517.7,520.55,516.75,520.2,81735
2018-03-16 14:00:00,520.3,521.8,517.25,517.5,98116
2018-03-16 15:00:00,517.5,519.1,515.25,516.4,424735
2018-03-19 10:00:00,517.5,520.8,507.0,509.25,309149
2018-03-19 11:00:00,509.5,511.15,504.0,507.0,134230
2018-03-19 12:00:00,507.0,507.45,502.0,505.45,81065
2018-03-19 13:00:00,505.45,505.6,503.5,504.3,69760
2018-03-19 14:00:00,504.3,508.5,504.2,507.45,87679
2018-03-19 15:00:00,507.45,509.95,505.0,507.0,185098
2018-03-20 10:00:00,501.9,501.9,494.7,501.25,344949
2018-03-20 11:00:00,501.25,502.95,498.05,498.45,135035
2018-03-20 12:00:00,498.45,500.3,498.45,500.2,264109
2018-03-20 13:00:00,500.2,501.7,498.5,500.0,137981
2018-03-20 14:00:00,500.0,500.0,497.1,497.9,83294
2018-03-20 15:00:00,497.9,499.0,496.75,498.6,288678
2018-03-21 10:00:00,502.0,508.0,501.9,505.95,208375
2018-03-21 11:00:00,505.95,506.4,504.1,505.15,71666
2018-03-21 12:00:00,505.15,505.25,502.0,502.85,77171
2018-03-21 13:00:00,502.85,503.5,499.0,499.9,184880
2018-03-21 14:00:00,499.9,500.25,496.4,498.25,121879
2018-03-21 15:00:00,498.25,500.1,497.55,499.5,125949
2018-03-22 10:00:00,499.4,502.0,497.35,500.65,106989
2018-03-22 11:00:00,500.65,501.6,495.5,498.0,95676
2018-03-22 12:00:00,498.0,499.95,495.95,496.4,124775
2018-03-22 13:00:00,496.4,498.5,496.2,497.4,42336
2018-03-22 14:00:00,497.5,498.1,493.35,497.4,139040
2018-03-22 15:00:00,497.55,498.35,495.0,496.15,87226
2018-03-23 10:00:00,491.0,494.1,486.65,492.8,262826
2018-03-23 11:00:00,492.8,493.7,490.4,491.25,92239
2018-03-23 12:00:00,491.25,492.2,489.0,489.4,85493
2018-03-23 13:00:00,489.4,492.5,488.4,492.2,84772
2018-03-23 14:00:00,492.2,496.45,491.2,493.95,103269
2018-03-23 15:00:00,493.95,494.0,490.55,492.15,130031
2018-03-26 10:00:00,493.0,494.0,491.0,491.35,163041
2018-03-26 11:00:00,491.35,491.95,487.8,488.95,232094
2018-03-26 12:00:00,488.95,490.4,488.2,489.85,98106
2018-03-26 13:00:00,489.55,491.0,488.0,490.0,74465
2018-03-26 14:00:00,490.0,490.5,489.1,489.7,222730
2018-03-26 15:00:00,489.7,492.85,489.5,491.4,289120
2018-03-27 10:00:00,494.8,497.6,493.0,493.8,252934
2018-03-27 11:00:00,493.8,494.0,492.0,493.0,533647
2018-03-27 12:00:00,493.0,493.5,492.1,493.1,72234
2018-03-27 13:00:00,493.1,495.95,493.1,495.0,139003
2018-03-27 14:00:00,495.0,496.0,494.05,495.0,143253
2018-03-27 15:00:00,495.0,495.9,493.0,494.95,190778
2018-03-28 10:00:00,492.15,495.65,489.0,493.2,148176
2018-03-28 11:00:00,493.1,494.9,493.0,494.45,34267
2018-03-28 12:00:00,494.45,495.2,493.85,495.0,58998
2018-03-28 13:00:00,495.0,495.5,491.25,491.6,89252
2018-03-28 14:00:00,491.7,492.4,489.1,490.5,141856
2018-03-28 15:00:00,490.5,491.85,486.25,486.85,383579
2018-04-02 10:00:00,489.05,490.4,483.65,487.05,220368
2018-04-02 11:00:00,487.05,489.4,486.05,488.2,104631
2018-04-02 12:00:00,488.2,492.95,488.2,492.45,203533
2018-04-02 13:00:00,492.45,494.75,491.5,494.0,177538
2018-04-02 14:00:00,493.9,496.1,493.55,495.95,89935
2018-04-02 15:00:00,495.95,509.25,495.1,508.5,559295
2018-04-03 10:00:00,502.45,508.3,500.6,507.7,200296
2018-04-03 11:00:00,507.7,509.0,501.0,503.1,115141
2018-04-03 12:00:00,503.1,504.0,501.65,502.5,85016
2018-04-03 13:00:00,502.45,503.5,502.0,502.85,137488
2018-04-03 14:00:00,502.85,504.05,500.0,503.0,277067
2018-04-03 15:00:00,503.15,509.7,502.45,508.55,260382
2018-04-04 10:00:00,509.9,513.0,507.6,510.0,528006
2018-04-04 11:00:00,510.0,510.8,505.1,506.15,194255
2018-04-04 12:00:00,506.0,507.5,503.25,506.65,219437
