Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,80.05,80.7,79.55,79.75,223682
2018-03-01 11:00:00,79.75,80.0,79.7,79.95,47929
2018-03-01 12:00:00,79.95,80.15,79.7,80.05,65792
2018-03-01 13:00:00,80.05,80.2,79.8,79.9,64157
2018-03-01 14:00:00,79.9,80.15,79.85,80.0,79809
2018-03-01 15:00:00,80.0,80.5,79.95,80.1,252736
2018-03-05 10:00:00,79.9,79.85,78.6,79.25,180991
2018-03-05 11:00:00,79.25,79.6,78.65,79.45,109372
2018-03-05 12:00:00,79.45,79.45,78.75,78.95,80466
2018-03-05 13:00:00,78.95,79.15,78.25,78.5,81949
2018-03-05 14:00:00,78.5,79.1,78.3,79.05,56123
2018-03-05 15:00:00,79.05,79.05,78.05,78.75,100420
2018-03-06 10:00:00,79.6,79.55,78.75,79.35,205929
2018-03-06 11:00:00,79.3,80.8,79.2,80.4,397642
2018-03-06 12:00:00,80.4,80.5,79.7,80.1,243520
2018-03-06 13:00:00,80.05,80.2,79.65,79.85,92758
2018-03-06 14:00:00,79.8,80.2,79.25,79.25,77080
2018-03-06 15:00:00,79.25,79.25,78.25,78.5,317340
2018-03-07 10:00:00,78.5,78.5,75.75,76.6,269540
2018-03-07 11:00:00,76.6,77.1,75.55,75.7,143516
2018-03-07 12:00:00,75.7,75.7,74.25,74.85,322937
2018-03-07 13:00:00,74.85,75.0,74.35,74.85,137071
2018-03-07 14:00:00,74.85,75.7,74.5,75.5,241359
2018-03-07 15:00:00,75.6,76.8,75.45,76.75,520178
2018-03-08 10:00:00,77.55,78.35,76.2,76.75,223378
2018-03-08 11:00:00,76.7,76.9,75.4,75.95,122069
2018-03-08 12:00:00,75.8,77.1,75.55,76.85,112095
2018-03-08 13:00:00,76.85,77.0,76.5,76.5,41702
2018-03-08 14:00:00,76.5,76.5,75.6,75.8,97947
2018-03-08 15:00:00,75.8,78.05,75.7,77.05,213552
2018-03-09 10:00:00,77.8,77.7,76.5,77.4,184188
2018-03-09 11:00:00,77.4,77.9,76.65,76.65,140686
2018-03-09 12:00:00,76.65,77.0,76.35,76.85,50370
2018-03-09 13:00:00,76.85,77.1,76.55,77.0,35151
2018-03-09 14:00:00,77.0,77.1,76.5,76.5,41217
2018-03-09 15:00:00,76.55,76.7,75.4,75.75,146789
2018-03-12 10:00:00,76.15,76.5,75.45,75.85,160721
2018-03-12 11:00:00,75.85,75.95,75.4,75.55,57843
2018-03-12 12:00:00,75.55,75.65,74.7,74.9,74707
2018-03-12 13:00:00,74.75,75.4,74.7,75.4,96797
2018-03-12 14:00:00,75.4,76.2,75.15,76.1,190519
2018-03-12 15:00:00,76.1,76.3,75.95,76.0,180041
2018-03-13 10:00:00,75.9,77.7,75.65,77.3,306998
2018-03-13 11:00:00,77.3,77.8,77.0,77.3,103674
2018-03-13 12:00:00,77.2,77.35,76.95,77.25,42645
2018-03-13 13:00:00,77.25,78.25,77.15,77.7,97242
2018-03-13 14:00:00,77.7,78.0,76.9,77.0,128196
2018-03-13 15:00:00,77.0,77.8,77.0,77.3,76086
2018-03-14 10:00:00,76.7,77.8,76.45,77.55,106648
2018-03-14 11:00:00,77.55,77.85,77.5,77.6,64345
2018-03-14 12:00:00,77.6,77.75,77.45,77.55,53430
2018-03-14 13:00:00,77.55,77.95,77.35,77.85,112665
2018-03-14 14:00:00,77.85,77.85,76.05,76.25,474569
2018-03-14 15:00:00,76.1,77.5,76.1,77.1,160011
2018-03-15 10:00:00,76.65,77.5,76.8,77.3,90581
2018-03-15 11:00:00,77.3,79.0,77.15,78.8,366383
2018-03-15 12:00:00,78.8,80.7,78.5,79.95,660062
2018-03-15 13:00:00,79.95,79.95,79.35,79.65,99403
2018-03-15 14:00:00,79.65,80.5,79.4,79.4,318373
2018-03-15 15:00:00,79.4,80.5,79.35,79.95,326393
2018-03-16 10:00:00,80.3,81.0,79.9,80.25,629848
2018-03-16 11:00:00,80.25,80.3,79.55,80.0,212762
2018-03-16 12:00:00,80.0,80.2,78.75,79.45,131720
2018-03-16 13:00:00,79.45,79.9,78.9,79.55,122655
2018-03-16 14:00:00,79.55,80.0,79.15,79.15,122752
2018-03-16 15:00:00,79.15,79.5,77.85,79.0,298189
2018-03-19 10:00:00,79.5,80.1,76.9,77.5,321338
2018-03-19 11:00:00,77.5,78.85,77.5,78.8,233499
2018-03-19 12:00:00,78.8,79.2,78.5,78.5,119778
2018-03-19 13:00:00,78.6,78.95,78.5,78.6,79483
