Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,392.0,394.8,388.45,389.85,87592
2018-03-01 11:00:00,389.85,390.5,386.2,386.6,37604
2018-03-01 12:00:00,386.6,388.3,386.5,388.15,30097
2018-03-01 13:00:00,388.15,390.55,388.05,390.2,60623
2018-03-01 14:00:00,390.2,392.5,389.45,389.5,108365
2018-03-01 15:00:00,389.5,393.0,387.55,387.55,134089
2018-03-05 10:00:00,390.0,391.6,384.95,386.2,134574
2018-03-05 11:00:00,386.2,386.3,381.6,382.25,75906
2018-03-05 12:00:00,382.25,383.6,381.0,382.5,81259
2018-03-05 13:00:00,382.5,384.7,381.85,383.8,46900
2018-03-05 14:00:00,383.8,387.7,382.7,386.85,50744
2018-03-05 15:00:00,386.75,387.35,383.85,385.55,54885
2018-03-06 10:00:00,390.0,393.7,390.2,392.45,100138
2018-03-06 11:00:00,392.4,392.45,388.75,391.0,75145
2018-03-06 12:00:00,391.1,392.0,389.7,392.0,33439
2018-03-06 13:00:00,392.0,396.0,388.15,390.25,166671
2018-03-06 14:00:00,390.2,391.9,384.85,385.65,28117
2018-03-06 15:00:00,385.65,387.6,381.9,382.0,83268
2018-03-07 10:00:00,382.4,383.0,377.0,381.0,108414
2018-03-07 11:00:00,381.0,381.7,378.2,378.3,32597
2018-03-07 12:00:00,378.3,378.45,371.0,372.5,169083
2018-03-07 13:00:00,372.5,380.25,370.15,376.6,163108
2018-03-07 14:00:00,376.6,378.0,374.6,376.0,65743
2018-03-07 15:00:00,376.0,377.55,374.15,375.95,96775
2018-03-08 10:00:00,378.5,383.1,372.6,373.8,89427
2018-03-08 11:00:00,373.85,376.9,371.5,376.9,58051
2018-03-08 12:00:00,376.7,381.5,374.05,379.95,54682
2018-03-08 13:00:00,379.95,381.3,378.0,378.1,41536
2018-03-08 14:00:00,378.1,381.0,376.85,380.0,35839
2018-03-08 15:00:00,380.0,385.0,380.0,382.8,87675
2018-03-09 10:00:00,382.5,386.5,378.35,381.75,116261
2018-03-09 11:00:00,381.75,385.3,381.25,381.95,145898
2018-03-09 12:00:00,381.95,381.95,376.65,378.8,70317
2018-03-09 13:00:00,378.85,380.0,377.05,377.6,60008
2018-03-09 14:00:00,377.8,379.35,373.7,373.7,48644
2018-03-09 15:00:00,373.7,375.0,367.1,371.65,128142
2018-03-12 10:00:00,374.0,375.7,371.4,373.8,59468
2018-03-12 11:00:00,374.0,375.45,369.45,370.05,39797
2018-03-12 12:00:00,370.1,371.1,363.85,367.15,157161
2018-03-12 13:00:00,367.2,369.95,366.2,368.55,47137
2018-03-12 14:00:00,368.9,373.0,368.55,372.8,44758
2018-03-12 15:00:00,372.8,378.5,372.2,378.4,68087
2018-03-13 10:00:00,379.0,389.85,376.15,388.55,139357
2018-03-13 11:00:00,388.55,395.8,388.55,392.3,239486
2018-03-13 12:00:00,392.3,395.95,391.2,395.55,111418
2018-03-13 13:00:00,395.55,399.5,395.0,395.85,148183
2018-03-13 14:00:00,395.85,401.05,392.6,394.65,172636
2018-03-13 15:00:00,394.65,399.6,393.85,397.4,95662
2018-03-14 10:00:00,398.0,396.05,389.05,393.6,179891
2018-03-14 11:00:00,393.6,395.2,392.1,392.4,40439
2018-03-14 12:00:00,392.4,394.6,392.0,394.25,31100
2018-03-14 13:00:00,394.25,403.8,393.35,402.95,167551
2018-03-14 14:00:00,402.95,406.3,400.3,400.75,165467
2018-03-14 15:00:00,400.75,402.0,395.9,398.5,183822
2018-03-15 10:00:00,398.5,405.7,398.05,405.05,143664
2018-03-15 11:00:00,405.1,405.9,402.35,402.5,65008
2018-03-15 12:00:00,402.5,406.0,401.2,403.1,135147
2018-03-15 13:00:00,403.1,403.45,398.25,401.3,76629
2018-03-15 14:00:00,400.95,401.95,392.5,396.0,138653
2018-03-15 15:00:00,396.3,401.0,396.0,398.15,247141
2018-03-16 10:00:00,398.0,399.9,396.6,398.0,64731
2018-03-16 11:00:00,398.0,402.8,396.0,400.0,84046
2018-03-16 12:00:00,400.0,400.15,396.65,399.0,37707
2018-03-16 13:00:00,399.0,401.0,398.15,400.95,34510
2018-03-16 14:00:00,400.95,404.0,398.2,399.5,254239
2018-03-16 15:00:00,399.5,399.6,393.4,396.35,235050
2018-03-19 10:00:00,400.0,403.5,394.2,396.5,325276
2018-03-19 11:00:00,396.5,397.55,390.85,391.65,151846
2018-03-19 12:00:00,391.65,392.8,386.35,389.8,71214
2018-03-19 13:00:00,389.8,390.55,386.1,390.55,65546
2018-03-19 14:00:00,390.55,392.85,388.5,390.35,79654
2018-03-19 15:00:00,390.35,392.85,386.7,387.55,61301
2018-03-20 10:00:00,386.0,396.75,386.0,394.4,194638
2018-03-20 11:00:00,394.4,394.95,391.65,393.7,133490
2018-03-20 12:00:00,393.7,398.9,392.95,396.2,117463
2018-03-20 13:00:00,396.2,396.55,390.4,392.15,54338
2018-03-20 14:00:00,392.15,392.15,388.1,390.35,56136
2018-03-20 15:00:00,390.35,390.35,386.9,389.55,62232
2018-03-21 10:00:00,393.25,395.9,391.6,394.0,62972
2018-03-21 11:00:00,394.0,396.0,392.5,395.9,40948
2018-03-21 12:00:00,395.65,398.0,393.35,396.25,73344
2018-03-21 13:00:00,396.25,397.0,394.1,396.15,28607
2018-03-21 14:00:00,396.15,396.6,394.45,395.45,31048
2018-03-21 15:00:00,395.45,395.5,389.25,394.55,226400
2018-03-22 10:00:00,397.05,399.4,393.55,395.6,71155
2018-03-22 11:00:00,395.6,397.75,395.4,395.95,86219
2018-03-22 12:00:00,395.95,398.6,394.45,398.1,177651
2018-03-22 13:00:00,398.45,398.45,388.55,389.5,146628
2018-03-22 14:00:00,389.5,391.45,386.85,390.65,98608
2018-03-22 15:00:00,390.7,392.0,388.35,389.25,70620
2018-03-23 10:00:00,385.0,385.0,377.65,381.7,116702
2018-03-23 11:00:00,381.7,383.85,381.0,382.65,41247
2018-03-23 12:00:00,382.65,383.05,380.45,380.45,41349
2018-03-23 13:00:00,380.45,383.0,380.35,382.0,63215
2018-03-23 14:00:00,382.0,384.15,381.1,381.85,58505
2018-03-23 15:00:00,381.85,382.1,381.1,381.6,86742
2018-03-26 10:00:00,382.55,384.55,378.0,378.65,74371
2018-03-26 11:00:00,378.35,379.95,377.9,379.1,43613
2018-03-26 12:00:00,379.1,381.3,379.05,380.7,92448
2018-03-26 13:00:00,380.7,382.75,380.2,382.2,30487
2018-03-26 14:00:00,382.2,383.6,380.0,381.35,48375
2018-03-26 15:00:00,381.35,385.8,380.35,383.75,142377
2018-03-27 10:00:00,388.0,395.0,387.95,391.75,91624
2018-03-27 11:00:00,392.05,395.0,391.0,391.5,198131
2018-03-27 12:00:00,391.5,392.0,389.0,389.7,223253
2018-03-27 13:00:00,389.7,397.4,389.55,395.9,143864
2018-03-27 14:00:00,395.9,404.0,393.05,403.45,163900
2018-03-27 15:00:00,403.45,403.45,400.1,401.8,89184
2018-03-28 10:00:00,400.95,405.0,399.0,400.35,183106
2018-03-28 11:00:00,400.35,408.7,400.0,406.85,232991
2018-03-28 12:00:00,406.85,412.0,406.85,410.1,175289
2018-03-28 13:00:00,410.1,412.0,409.25,409.8,83239
2018-03-28 14:00:00,409.8,410.25,407.05,407.5,77531
2018-03-28 15:00:00,407.5,412.0,407.0,408.55,112455
2018-04-02 10:00:00,408.7,409.4,400.3,405.0,165480
2018-04-02 11:00:00,405.0,405.55,403.05,404.85,90942
2018-04-02 12:00:00,404.85,409.8,404.7,408.6,265824
2018-04-02 13:00:00,408.6,410.9,406.15,407.95,140445
2018-04-02 14:00:00,408.1,408.5,406.2,407.7,130183
2018-04-02 15:00:00,407.7,413.8,407.0,413.75,142993
2018-04-03 10:00:00,410.1,418.9,410.1,412.5,131830
2018-04-03 11:00:00,412.5,412.95,407.05,409.35,60956
2018-04-03 12:00:00,409.35,412.25,408.8,409.75,80106
2018-04-03 13:00:00,409.8,412.0,409.35,412.0,155243
2018-04-03 14:00:00,412.0,413.0,411.0,412.35,23873
2018-04-03 15:00:00,412.65,418.0,412.4,416.6,110088
2018-04-04 10:00:00,418.0,424.9,417.0,424.8,142682
2018-04-04 11:00:00,424.8,426.5,421.0,421.5,81062
2018-04-04 12:00:00,421.5,421.5,418.4,419.8,74250
2018-04-04 13:00:00,419.8,421.0,418.35,420.0,38265
2018-04-04 14:00:00,420.0,420.05,414.25,416.95,143934
2018-04-04 15:00:00,416.95,418.0,412.3,414.15,66639
2018-04-05 10:00:00,422.0,424.45,418.95,424.45,54017
2018-04-05 11:00:00,424.45,425.0,419.6,421.15,78033
2018-04-05 12:00:00,421.15,422.55,420.0,422.3,31702
2018-04-05 13:00:00,422.3,423.4,421.1,423.15,32858
2018-04-05 14:00:00,423.15,424.0,422.3,423.5,39627
2018-04-05 15:00:00,423.5,433.95,423.25,433.5,223939
2018-04-06 10:00:00,432.9,432.75,424.4,427.85,113313
2018-04-06 11:00:00,427.85,429.55,423.65,424.45,48226
2018-04-06 12:00:00,424.45,426.0,424.3,425.7,27224
2018-04-06 13:00:00,425.95,426.75,424.3,425.8,36748
2018-04-06 14:00:00,425.8,427.6,424.9,425.8,22839
2018-04-06 15:00:00,426.25,429.5,425.3,427.2,51670
2018-04-09 10:00:00,426.0,431.3,426.1,427.3,76497
2018-04-09 11:00:00,427.3,428.6,425.05,427.65,95195
2018-04-09 12:00:00,427.75,429.5,427.0,428.05,65858
2018-04-09 13:00:00,428.05,431.0,427.15,427.95,82221
2018-04-09 14:00:00,427.95,428.9,427.2,428.1,22283
2018-04-09 15:00:00,428.2,428.4,424.3,425.15,65659
2018-04-10 10:00:00,427.0,432.8,427.1,432.6,127891
2018-04-10 11:00:00,432.6,438.45,432.3,437.2,367670
2018-04-10 12:00:00,437.2,437.4,435.5,435.7,85891
2018-04-10 13:00:00,435.7,436.3,435.6,436.2,130569
2018-04-10 14:00:00,436.2,439.0,435.05,437.05,149463
2018-04-10 15:00:00,437.05,438.85,434.3,435.45,147301
2018-04-11 10:00:00,437.0,440.4,431.15,436.35,305310
2018-04-11 11:00:00,436.35,437.35,432.5,433.25,60169
2018-04-11 12:00:00,433.25,434.1,430.9,431.0,59161
2018-04-11 13:00:00,431.0,434.0,430.6,433.0,91093
2018-04-11 14:00:00,433.1,435.6,432.05,435.3,93289
2018-04-11 15:00:00,435.3,436.45,433.15,433.7,102707
2018-04-12 10:00:00,435.45,435.55,430.65,432.45,70098
2018-04-12 11:00:00,432.1,433.15,431.2,432.75,13660
2018-04-12 12:00:00,432.75,433.05,429.15,430.75,38209
2018-04-12 13:00:00,430.85,431.95,429.45,430.5,26058
2018-04-12 14:00:00,430.5,432.3,429.5,429.8,25877
2018-04-12 15:00:00,429.8,429.8,422.95,428.25,136289
2018-04-13 10:00:00,428.95,435.75,427.0,434.6,96615
2018-04-13 11:00:00,434.65,434.65,431.55,434.0,25118
2018-04-13 12:00:00,434.0,434.55,432.0,432.5,54353
2018-04-13 13:00:00,432.5,432.9,427.25,430.2,45184
2018-04-13 14:00:00,430.2,430.75,428.1,430.1,20506
2018-04-13 15:00:00,430.1,431.35,428.3,430.9,36340
2018-04-16 10:00:00,430.95,434.9,426.75,432.65,42963
2018-04-16 11:00:00,432.65,433.35,430.2,430.2,17662
2018-04-16 12:00:00,430.2,434.35,429.95,433.15,22131
2018-04-16 13:00:00,433.15,433.45,431.55,432.6,19372
2018-04-16 14:00:00,433.05,441.0,432.25,440.3,167748
2018-04-16 15:00:00,440.4,444.7,440.25,443.3,262823
2018-04-17 10:00:00,444.0,445.05,439.0,442.15,139572
2018-04-17 11:00:00,442.15,443.6,440.55,441.05,52830
2018-04-17 12:00:00,440.8,441.65,439.35,439.4,27258
2018-04-17 13:00:00,439.4,441.0,436.65,440.9,51175
2018-04-17 14:00:00,440.9,442.5,440.55,441.3,49370
2018-04-17 15:00:00,441.3,441.6,439.0,441.0,48288
2018-04-18 10:00:00,441.4,443.9,438.0,443.65,196052
2018-04-18 11:00:00,443.5,446.6,439.2,439.5,286293
2018-04-18 12:00:00,439.5,442.0,439.25,440.55,49795
2018-04-18 13:00:00,440.55,440.75,438.1,439.7,50058
2018-04-18 14:00:00,439.7,440.75,433.35,433.55,97151
2018-04-18 15:00:00,433.8,436.05,426.5,430.65,158870
2018-04-19 10:00:00,431.95,431.95,425.05,426.15,109207
2018-04-19 11:00:00,426.15,428.5,425.5,426.35,30036
2018-04-19 12:00:00,426.35,427.95,426.0,426.75,17290
2018-04-19 13:00:00,426.75,430.5,426.5,429.95,33356
2018-04-19 14:00:00,430.0,430.45,427.6,428.95,32071
2018-04-19 15:00:00,428.95,430.5,427.55,429.0,178269
2018-04-20 10:00:00,427.0,429.85,425.6,429.0,53040
2018-04-20 11:00:00,429.0,433.65,428.75,430.0,63017
2018-04-20 12:00:00,430.0,432.5,426.25,432.4,60273
2018-04-20 13:00:00,432.4,432.9,430.2,430.9,23848
2018-04-20 14:00:00,430.9,431.5,429.75,431.35,26741
2018-04-20 15:00:00,431.35,435.9,430.5,434.1,102179
2018-04-23 10:00:00,430.0,432.8,428.1,431.85,99202
2018-04-23 11:00:00,431.8,432.65,430.3,430.95,40007
2018-04-23 12:00:00,431.0,436.7,430.6,435.45,175271
2018-04-23 13:00:00,435.45,436.7,431.85,432.9,112752
2018-04-23 14:00:00,432.9,434.95,432.0,432.0,52197
2018-04-23 15:00:00,432.35,438.85,431.7,438.0,268425
2018-04-24 10:00:00,439.7,440.9,435.25,438.55,73081
2018-04-24 11:00:00,438.55,442.9,438.45,438.65,61710
2018-04-24 12:00:00,438.65,439.6,437.35,437.85,64641
2018-04-24 13:00:00,437.95,439.8,434.1,437.0,113207
2018-04-24 14:00:00,437.2,440.0,435.4,436.5,41699
2018-04-24 15:00:00,436.8,444.15,435.8,443.6,122878
2018-04-25 10:00:00,445.55,454.75,443.0,447.0,460375
2018-04-25 11:00:00,447.0,447.2,443.85,445.8,69708
2018-04-25 12:00:00,445.5,447.1,444.0,445.0,100517
2018-04-25 13:00:00,445.1,445.55,442.2,444.05,41185
