Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,815.0,818.7,805.05,807.25,3944
2018-03-01 11:00:00,807.25,813.65,807.1,810.25,2524
2018-03-01 12:00:00,810.25,813.5,808.0,810.0,4480
2018-03-01 13:00:00,810.0,811.0,810.0,811.0,31273
2018-03-01 14:00:00,810.2,811.0,810.2,810.2,4761
2018-03-01 15:00:00,810.2,810.5,806.05,808.0,6628
2018-03-05 10:00:00,808.0,808.0,802.0,804.1,2847
2018-03-05 11:00:00,804.65,808.45,804.0,806.0,1270
2018-03-05 12:00:00,805.95,809.0,805.95,808.65,2633
2018-03-05 13:00:00,808.65,808.9,805.1,807.1,1334
2018-03-05 14:00:00,807.1,812.8,805.1,809.9,3302
2018-03-05 15:00:00,810.0,810.0,808.0,809.9,6330
2018-03-06 10:00:00,814.0,814.0,804.85,810.5,7142
2018-03-06 11:00:00,810.5,811.65,809.0,809.1,1908
2018-03-06 12:00:00,809.1,812.0,809.0,810.95,1179
2018-03-06 13:00:00,810.95,816.0,809.95,816.0,20693
2018-03-06 14:00:00,816.0,816.95,814.35,814.85,5773
2018-03-06 15:00:00,814.85,838.0,813.95,821.25,34060
2018-03-07 10:00:00,827.85,827.85,814.0,820.15,6126
2018-03-07 11:00:00,820.15,822.0,818.75,819.75,10102
2018-03-07 12:00:00,819.75,821.85,814.65,820.45,9431
2018-03-07 13:00:00,820.45,820.5,815.0,820.0,8826
2018-03-07 14:00:00,820.0,820.5,817.65,817.65,1709
2018-03-07 15:00:00,817.65,820.3,804.0,804.05,5246
2018-03-08 10:00:00,811.55,811.65,799.05,805.0,4496
2018-03-08 11:00:00,805.0,815.0,800.3,811.0,480883
2018-03-08 12:00:00,811.0,820.0,802.6,815.0,1466649
2018-03-08 13:00:00,814.1,818.0,810.0,811.3,11528
2018-03-08 14:00:00,812.55,815.75,810.5,811.7,21012
2018-03-08 15:00:00,811.7,814.45,810.0,810.5,12473
2018-03-09 10:00:00,819.95,820.0,805.0,810.65,178538
2018-03-09 11:00:00,810.0,817.6,810.0,815.5,3862
2018-03-09 12:00:00,815.5,816.4,815.0,815.05,4961
2018-03-09 13:00:00,815.05,816.9,812.0,812.25,1498
2018-03-09 14:00:00,812.25,815.95,806.5,808.9,61026
2018-03-09 15:00:00,808.9,808.9,798.0,803.05,5064
2018-03-12 10:00:00,800.1,810.05,792.7,796.65,6086
2018-03-12 11:00:00,797.8,800.0,794.5,796.55,3905
2018-03-12 12:00:00,798.95,799.0,795.0,797.85,1854
2018-03-12 13:00:00,797.95,798.0,793.05,796.95,4470
2018-03-12 14:00:00,796.9,797.75,793.0,794.15,3383
2018-03-12 15:00:00,794.15,798.0,791.1,793.7,11030
2018-03-13 10:00:00,788.9,795.75,781.15,782.05,4501
2018-03-13 11:00:00,782.55,785.0,777.45,778.1,5299
2018-03-13 12:00:00,778.1,788.05,775.25,785.5,5830
2018-03-13 13:00:00,785.5,798.8,785.4,788.05,6850
2018-03-13 14:00:00,788.05,792.9,781.6,781.6,4653
2018-03-13 15:00:00,781.6,790.0,781.0,786.0,3833
2018-03-14 10:00:00,799.0,799.0,788.0,791.15,2997
2018-03-14 11:00:00,791.15,793.05,789.0,790.1,1199
2018-03-14 12:00:00,790.1,792.7,790.0,791.1,3066
2018-03-14 13:00:00,790.65,793.0,789.0,790.0,8058
2018-03-14 14:00:00,790.0,792.9,781.15,782.15,4019
2018-03-14 15:00:00,782.15,795.85,780.0,787.0,14687
2018-03-15 10:00:00,797.0,797.0,788.9,789.25,1315
2018-03-15 11:00:00,789.25,795.0,789.25,793.1,781
2018-03-15 12:00:00,793.1,799.0,791.1,791.1,1264
2018-03-15 13:00:00,791.1,802.9,791.1,796.55,2298
2018-03-15 14:00:00,796.55,799.8,790.3,790.3,739
2018-03-15 15:00:00,791.0,794.9,788.0,791.15,2223
2018-03-16 10:00:00,798.0,798.0,786.5,787.2,2171
2018-03-16 11:00:00,787.2,790.0,782.65,786.95,1164
2018-03-16 12:00:00,786.95,787.0,783.0,786.45,1133
2018-03-16 13:00:00,786.45,786.5,783.15,785.1,491
2018-03-16 14:00:00,785.95,786.9,783.0,783.15,599
2018-03-16 15:00:00,783.15,787.0,775.0,784.0,3606
2018-03-19 10:00:00,768.0,776.85,766.6,769.8,5638
2018-03-19 11:00:00,766.6,770.0,761.75,766.4,2916
2018-03-19 12:00:00,766.4,770.5,762.6,768.9,2854
2018-03-19 13:00:00,766.6,768.95,766.0,766.0,867
2018-03-19 14:00:00,766.9,770.0,762.6,763.85,1833
2018-03-19 15:00:00,763.85,764.9,759.65,759.85,3161
2018-03-20 10:00:00,751.15,756.85,748.0,750.3,4384
2018-03-20 11:00:00,750.3,753.05,749.0,750.0,7401
2018-03-20 12:00:00,750.0,751.25,745.0,750.0,3843
2018-03-20 13:00:00,750.0,760.25,748.05,752.9,10694
2018-03-20 14:00:00,751.15,752.85,745.45,750.5,2759
2018-03-20 15:00:00,750.5,750.5,746.1,749.0,2956
2018-03-21 10:00:00,753.0,764.0,752.9,761.0,3781
2018-03-21 11:00:00,761.0,794.9,761.0,788.5,25538
2018-03-21 12:00:00,788.5,788.5,776.15,777.15,5682
2018-03-21 13:00:00,777.15,779.9,768.0,773.9,6610
2018-03-21 14:00:00,773.9,774.7,768.05,768.15,1229
2018-03-21 15:00:00,768.15,777.8,766.15,775.6,3381
2018-03-22 10:00:00,773.0,783.0,763.5,777.7,6067
2018-03-22 11:00:00,777.7,782.9,776.25,777.1,3378
2018-03-22 12:00:00,777.1,777.1,755.0,759.65,4220
2018-03-22 13:00:00,759.65,764.9,758.0,763.1,753
2018-03-22 14:00:00,763.1,765.0,762.0,763.6,1980
2018-03-22 15:00:00,763.25,764.95,762.0,764.95,4585
2018-03-23 10:00:00,750.0,750.0,739.95,747.5,3586
2018-03-23 11:00:00,747.5,749.0,737.0,748.0,5565
2018-03-23 12:00:00,748.5,753.7,745.0,745.0,5845
2018-03-23 13:00:00,745.0,746.95,738.1,740.0,2668
2018-03-23 14:00:00,740.25,741.9,735.55,736.95,5201
2018-03-23 15:00:00,736.95,737.0,735.0,737.0,5562
2018-03-26 10:00:00,747.0,757.0,732.5,736.95,5977
2018-03-26 11:00:00,736.95,736.95,724.3,728.7,7652
2018-03-26 12:00:00,728.7,737.5,725.3,733.15,3884
2018-03-26 13:00:00,733.15,736.0,733.15,734.0,1107
2018-03-26 14:00:00,734.0,738.8,731.95,736.5,4276
2018-03-26 15:00:00,736.5,755.7,732.35,755.05,12825
2018-03-27 10:00:00,770.0,786.05,760.0,779.0,11101
2018-03-27 11:00:00,779.0,779.95,775.65,777.45,2993
2018-03-27 12:00:00,777.45,778.75,777.45,778.75,762
2018-03-27 13:00:00,778.75,779.0,772.55,776.35,3479
2018-03-27 14:00:00,776.35,778.4,775.05,776.1,1182
2018-03-27 15:00:00,776.1,778.25,771.6,776.45,3546
2018-03-28 10:00:00,771.0,778.45,765.0,771.85,1998
2018-03-28 11:00:00,771.85,773.8,766.55,766.55,41942
2018-03-28 12:00:00,766.55,780.2,763.0,779.9,5550
2018-03-28 13:00:00,779.9,779.9,771.6,773.45,9941
2018-03-28 14:00:00,773.45,775.35,773.45,775.0,1698
2018-03-28 15:00:00,775.0,776.95,767.0,772.6,8493
2018-04-02 10:00:00,782.0,782.0,765.2,781.3,3949
2018-04-02 11:00:00,781.3,781.3,775.25,780.0,17556
2018-04-02 12:00:00,780.0,781.6,778.55,779.35,3272
2018-04-02 13:00:00,779.35,780.0,777.5,778.5,864
2018-04-02 14:00:00,778.0,781.6,778.0,781.05,1306
2018-04-02 15:00:00,779.7,780.95,777.5,779.9,1702
2018-04-03 10:00:00,778.25,792.0,778.25,787.4,6783
2018-04-03 11:00:00,787.4,788.9,783.5,784.0,4551
2018-04-03 12:00:00,784.45,789.1,784.45,788.4,1591
2018-04-03 13:00:00,788.0,788.9,783.5,787.85,1487
2018-04-03 14:00:00,787.85,787.9,785.1,786.5,800
2018-04-03 15:00:00,786.5,788.9,786.0,787.0,3768
2018-04-04 10:00:00,798.0,806.0,780.0,802.85,18508
2018-04-04 11:00:00,802.85,802.85,799.05,799.4,8507
2018-04-04 12:00:00,799.4,801.0,795.0,801.0,4156
2018-04-04 13:00:00,801.0,803.0,795.0,796.95,4215
2018-04-04 14:00:00,796.95,797.0,761.9,772.65,11008
2018-04-04 15:00:00,772.65,797.9,771.65,795.0,6957
2018-04-05 10:00:00,804.0,810.1,795.9,803.15,13548
2018-04-05 11:00:00,803.15,806.0,802.55,804.6,5019
2018-04-05 12:00:00,804.6,808.55,803.45,808.0,5444
2018-04-05 13:00:00,808.1,810.1,806.3,807.05,6528
2018-04-05 14:00:00,807.05,807.65,802.05,806.15,3826
2018-04-05 15:00:00,806.15,806.15,800.0,803.0,7044
2018-04-06 10:00:00,796.1,808.0,796.0,800.05,2148
2018-04-06 11:00:00,800.05,804.65,797.0,797.0,959
2018-04-06 12:00:00,797.0,803.2,797.0,803.2,1132
2018-04-06 13:00:00,803.75,810.2,803.75,808.55,2050
2018-04-06 14:00:00,808.55,810.0,806.35,807.0,1229
2018-04-06 15:00:00,807.0,815.95,807.0,807.0,6053
2018-04-09 10:00:00,820.0,820.0,810.0,815.0,24000
2018-04-09 11:00:00,815.0,815.0,811.5,812.7,2459
2018-04-09 12:00:00,812.7,812.7,810.0,811.9,1584
2018-04-09 13:00:00,811.95,814.9,811.0,812.9,1774
2018-04-09 14:00:00,812.9,813.95,797.65,806.7,6151
2018-04-09 15:00:00,806.7,807.0,786.0,792.25,5861
2018-04-10 10:00:00,800.0,802.25,793.0,794.0,3818
2018-04-10 11:00:00,794.0,795.0,792.75,794.0,893
2018-04-10 12:00:00,794.0,794.95,787.0,792.0,2518
2018-04-10 13:00:00,792.0,797.0,789.55,793.0,707
2018-04-10 14:00:00,791.4,795.0,785.0,785.7,3598
2018-04-10 15:00:00,785.7,790.45,777.0,779.0,6527
2018-04-11 10:00:00,781.0,788.8,779.55,782.65,1565
2018-04-11 11:00:00,782.65,783.9,780.2,782.95,1036
2018-04-11 12:00:00,782.95,783.35,779.0,780.0,1831
2018-04-11 13:00:00,780.0,782.9,777.05,778.0,1312
2018-04-11 14:00:00,778.0,778.0,768.0,773.95,5546
2018-04-11 15:00:00,773.95,778.55,773.0,777.35,1774
2018-04-12 10:00:00,777.3,790.7,777.3,785.0,2004
2018-04-12 11:00:00,785.0,786.0,784.0,784.0,1390
2018-04-12 12:00:00,784.0,785.0,780.0,781.2,1058
2018-04-12 13:00:00,781.2,785.0,781.15,782.75,1660
2018-04-12 14:00:00,782.75,785.9,780.0,780.0,1880
2018-04-12 15:00:00,780.0,782.5,777.0,778.9,1703
2018-04-13 10:00:00,776.0,785.7,776.0,779.0,2686
2018-04-13 11:00:00,779.0,781.1,777.55,779.0,1368
2018-04-13 12:00:00,779.0,779.4,776.1,778.65,761
2018-04-13 13:00:00,778.65,778.9,777.2,777.2,1092
2018-04-13 14:00:00,777.2,779.4,775.0,776.1,1952
