Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,83.2,84.8,82.75,83.15,3759485
2018-03-01 11:00:00,83.15,83.5,82.7,82.75,1400272
2018-03-01 12:00:00,82.75,83.0,82.4,82.5,1091283
2018-03-01 13:00:00,82.5,82.8,82.45,82.5,667033
2018-03-01 14:00:00,82.5,82.7,81.95,82.0,1535656
2018-03-01 15:00:00,81.95,82.15,80.75,81.0,3049514
2018-03-05 10:00:00,79.3,79.3,77.3,77.75,10693455
2018-03-05 11:00:00,77.8,77.8,76.7,76.9,4030923
2018-03-05 12:00:00,76.95,77.2,76.05,76.95,3710241
2018-03-05 13:00:00,77.0,77.3,76.5,76.9,2355810
2018-03-05 14:00:00,76.95,78.1,76.9,77.95,3864867
2018-03-05 15:00:00,77.95,78.5,77.7,78.05,4750892
2018-03-06 10:00:00,79.4,80.75,78.4,79.0,7188686
2018-03-06 11:00:00,79.05,79.05,78.3,78.45,1473699
2018-03-06 12:00:00,78.45,79.1,78.3,78.85,1301792
2018-03-06 13:00:00,78.85,78.95,77.9,78.85,3732125
2018-03-06 14:00:00,78.85,79.05,77.9,77.9,943362
2018-03-06 15:00:00,77.9,78.2,75.6,75.6,5175430
2018-03-07 10:00:00,75.4,75.8,74.3,75.3,5022318
2018-03-07 11:00:00,75.25,75.75,74.5,74.6,1971735
2018-03-07 12:00:00,74.6,74.6,73.05,73.55,2748082
2018-03-07 13:00:00,73.6,74.05,73.2,73.95,882055
2018-03-07 14:00:00,73.95,74.55,73.4,73.65,2176973
2018-03-07 15:00:00,73.65,74.15,73.4,73.65,1524623
2018-03-08 10:00:00,74.4,75.5,72.2,72.85,2995218
2018-03-08 11:00:00,72.85,74.7,72.6,74.3,2099648
2018-03-08 12:00:00,74.4,75.2,74.0,74.7,1391717
2018-03-08 13:00:00,74.7,74.85,73.6,73.8,996299
2018-03-08 14:00:00,73.8,74.25,73.05,73.7,985038
2018-03-08 15:00:00,73.75,74.7,73.7,74.1,1230097
2018-03-09 10:00:00,74.6,75.75,73.4,73.5,4142739
2018-03-09 11:00:00,73.5,73.7,70.75,71.05,5288734
2018-03-09 12:00:00,71.05,71.35,70.2,70.4,5315075
2018-03-09 13:00:00,70.4,71.0,69.3,70.65,5699926
2018-03-09 14:00:00,70.65,71.1,70.05,70.45,3138598
2018-03-09 15:00:00,70.45,70.6,69.3,69.45,4648735
2018-03-12 10:00:00,70.75,71.7,69.25,70.85,6388670
2018-03-12 11:00:00,70.9,71.1,70.35,70.4,3287130
2018-03-12 12:00:00,70.4,70.45,69.75,70.0,1175973
2018-03-12 13:00:00,70.0,70.5,69.2,70.2,2142347
2018-03-12 14:00:00,70.2,71.0,70.05,70.5,1314335
2018-03-12 15:00:00,70.5,72.5,70.3,72.25,3665538
2018-03-13 10:00:00,72.45,72.7,71.15,72.1,3965911
2018-03-13 11:00:00,72.05,73.45,72.05,72.8,2659377
2018-03-13 12:00:00,72.8,73.5,72.5,73.2,1320522
2018-03-13 13:00:00,73.2,74.4,73.05,73.8,1852028
2018-03-13 14:00:00,73.8,73.8,71.8,72.3,2041602
2018-03-13 15:00:00,72.3,73.0,72.1,72.35,1438345
2018-03-14 10:00:00,72.0,73.4,71.8,73.25,2216482
2018-03-14 11:00:00,73.25,73.65,73.0,73.3,1027623
2018-03-14 12:00:00,73.3,73.3,72.5,72.7,1305545
2018-03-14 13:00:00,72.65,72.8,72.0,72.35,2409130
2018-03-14 14:00:00,72.35,72.45,71.4,71.8,2055618
2018-03-14 15:00:00,71.75,72.7,71.6,72.45,1639021
2018-03-15 10:00:00,72.0,74.3,72.0,73.9,4486232
2018-03-15 11:00:00,73.9,74.15,73.0,73.1,1278011
2018-03-15 12:00:00,73.1,73.4,73.0,73.35,640069
2018-03-15 13:00:00,73.45,73.9,73.35,73.55,707696
2018-03-15 14:00:00,73.55,73.65,72.9,73.3,1072481
2018-03-15 15:00:00,73.3,76.3,73.25,75.3,6120665
2018-03-16 10:00:00,74.95,76.15,74.65,75.0,3578967
2018-03-16 11:00:00,75.0,75.2,74.35,74.95,1234066
2018-03-16 12:00:00,74.95,75.0,73.8,73.95,1150734
2018-03-16 13:00:00,73.95,74.5,73.5,74.15,1002785
2018-03-16 14:00:00,74.15,74.2,72.95,73.0,1355030
2018-03-16 15:00:00,73.0,73.3,72.55,72.9,2130065
2018-03-19 10:00:00,73.0,72.9,68.25,68.75,7780403
2018-03-19 11:00:00,68.75,69.0,67.6,68.2,3951447
2018-03-19 12:00:00,68.15,68.7,67.8,68.45,1577284
2018-03-19 13:00:00,68.45,68.5,67.85,68.2,1090973
2018-03-19 14:00:00,68.2,69.2,67.8,67.95,3412120
2018-03-19 15:00:00,67.95,69.1,67.9,68.85,2864145
2018-03-20 10:00:00,68.05,71.75,67.85,71.4,8647293
2018-03-20 11:00:00,71.4,71.85,71.05,71.55,2390631
2018-03-20 12:00:00,71.55,72.3,71.55,71.95,3692730
2018-03-20 13:00:00,71.95,72.35,71.65,72.1,2211839
2018-03-20 14:00:00,72.1,72.2,71.45,72.1,2342771
2018-03-20 15:00:00,72.1,72.3,71.5,72.15,3536518
2018-03-21 10:00:00,72.95,73.95,72.45,73.2,6167700
2018-03-21 11:00:00,73.25,73.75,73.1,73.25,1390511
2018-03-21 12:00:00,73.25,73.3,72.8,72.9,1446895
2018-03-21 13:00:00,72.9,73.25,72.5,72.65,1182635
2018-03-21 14:00:00,72.65,72.9,71.35,71.6,1783436
2018-03-21 15:00:00,71.6,72.6,71.5,72.25,2698792
2018-03-22 10:00:00,72.9,73.15,71.8,72.5,3120119
2018-03-22 11:00:00,72.5,72.85,72.3,72.4,624745
2018-03-22 12:00:00,72.4,72.45,71.65,72.0,1262185
