Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,793.5,793.5,776.28,777.03,318
2018-03-01 11:00:00,777.03,779.75,777.0,779.75,132
2018-03-01 12:00:00,779.75,784.0,772.5,782.38,1554
2018-03-01 13:00:00,782.38,799.45,775.0,798.18,2298
2018-03-01 14:00:00,798.18,798.18,787.5,787.5,8114
2018-03-01 15:00:00,787.5,792.0,785.63,789.5,9664
2018-03-05 10:00:00,775.03,795.38,775.03,776.55,142
2018-03-05 11:00:00,776.55,781.1,776.55,781.1,6
2018-03-05 12:00:00,781.1,786.47,779.45,779.45,6
2018-03-05 13:00:00,779.45,786.0,779.45,782.5,56
2018-03-05 14:00:00,782.5,787.5,782.5,787.48,206
2018-03-05 15:00:00,787.48,792.33,785.0,792.33,190
2018-03-06 10:00:00,792.13,796.0,788.47,792.48,150
2018-03-06 11:00:00,792.48,792.5,785.78,785.8,102
2018-03-06 13:00:00,785.75,785.75,785.75,785.75,2
2018-03-06 14:00:00,785.75,787.53,775.0,787.5,16112
2018-03-06 15:00:00,787.5,787.5,777.75,787.5,192
2018-03-07 10:00:00,789.0,794.03,789.0,794.03,2
2018-03-07 11:00:00,794.03,797.0,789.08,790.0,66
2018-03-07 12:00:00,790.0,790.0,766.1,775.0,1392
2018-03-07 13:00:00,775.0,776.5,766.1,775.0,1826
2018-03-07 14:00:00,775.0,777.65,775.0,775.0,280
2018-03-07 15:00:00,775.0,777.63,775.0,777.63,462
2018-03-08 10:00:00,777.5,777.53,770.0,771.53,130
2018-03-08 11:00:00,770.0,771.0,770.0,770.05,120
2018-03-08 12:00:00,770.05,777.5,770.05,770.78,10
2018-03-08 13:00:00,770.78,774.97,770.75,774.98,88
2018-03-08 14:00:00,774.98,792.43,770.0,790.5,622
2018-03-08 15:00:00,790.5,795.0,777.53,794.48,260
2018-03-09 10:00:00,798.5,798.5,777.55,791.88,124
2018-03-09 11:00:00,791.88,798.45,779.0,788.0,134
2018-03-09 12:00:00,788.0,788.0,786.83,786.83,14
2018-03-09 13:00:00,787.0,798.5,782.5,787.5,196
2018-03-09 14:00:00,787.5,794.2,787.5,794.2,38
2018-03-09 15:00:00,794.2,796.3,778.78,794.25,582
2018-03-12 10:00:00,786.28,809.97,786.28,792.5,228
2018-03-12 11:00:00,792.5,792.5,781.63,781.63,66
2018-03-12 12:00:00,785.1,789.0,783.0,786.53,48
2018-03-12 13:00:00,786.53,786.53,777.5,784.88,352
2018-03-12 14:00:00,784.88,785.88,777.58,785.88,20
2018-03-12 15:00:00,785.88,785.88,780.03,784.5,46
2018-03-13 10:00:00,775.0,792.47,775.0,789.0,164
2018-03-13 11:00:00,789.0,789.0,778.8,778.8,130
2018-03-13 12:00:00,778.8,786.95,778.8,786.95,40
2018-03-13 13:00:00,786.95,786.95,775.0,775.0,440
2018-03-13 14:00:00,775.0,784.43,775.0,775.0,340
2018-03-13 15:00:00,770.5,776.88,763.0,763.0,224
