Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,299.0,299.0,293.95,295.55,7664
2018-03-01 11:00:00,295.55,296.0,295.0,295.63,7118
2018-03-01 12:00:00,295.63,300.0,295.63,296.75,23336
2018-03-01 13:00:00,296.75,296.75,294.2,295.0,5950
2018-03-01 14:00:00,295.0,295.5,294.0,295.45,6140
2018-03-01 15:00:00,295.45,300.88,295.45,300.45,26906
2018-03-05 10:00:00,300.0,300.05,295.02,297.5,14088
2018-03-05 11:00:00,297.5,302.0,297.5,300.48,28838
2018-03-05 12:00:00,300.48,301.42,298.3,298.6,14450
2018-03-05 13:00:00,298.6,301.35,293.0,293.53,27990
2018-03-05 14:00:00,293.93,295.0,292.0,293.5,23670
2018-03-05 15:00:00,293.5,293.5,290.77,292.7,6276
2018-03-06 10:00:00,294.35,294.92,290.8,291.5,63836
2018-03-06 11:00:00,291.5,291.73,287.55,289.05,227048
2018-03-06 12:00:00,289.5,293.4,289.27,293.03,17528
2018-03-06 13:00:00,293.03,302.25,292.65,301.55,62934
2018-03-06 14:00:00,302.2,311.85,293.33,297.43,266720
2018-03-06 15:00:00,297.45,297.98,294.17,297.5,81728
2018-03-07 10:00:00,298.63,298.63,292.73,295.18,9880
2018-03-07 11:00:00,295.18,296.0,292.5,292.98,9922
2018-03-07 12:00:00,292.98,295.0,292.75,294.7,6640
2018-03-07 13:00:00,294.5,295.0,294.27,294.75,7842
2018-03-07 14:00:00,294.75,294.9,291.15,294.48,23932
2018-03-07 15:00:00,294.5,295.0,294.0,294.0,14428
2018-03-08 10:00:00,295.0,296.5,291.2,291.55,9904
2018-03-08 11:00:00,291.55,291.55,287.75,289.9,11620
2018-03-08 12:00:00,289.9,292.7,289.9,290.9,9664
2018-03-08 13:00:00,290.9,291.7,288.4,289.03,6200
2018-03-08 14:00:00,289.03,289.6,288.0,289.6,4664
2018-03-08 15:00:00,289.6,289.9,288.02,288.9,10302
2018-03-09 10:00:00,288.5,291.98,288.5,289.9,12378
2018-03-09 11:00:00,289.9,290.0,288.52,289.25,5170
2018-03-09 12:00:00,289.25,289.3,287.55,289.0,4584
2018-03-09 13:00:00,289.0,290.35,288.75,289.7,21790
2018-03-09 14:00:00,289.7,289.95,289.0,289.05,8716
2018-03-09 15:00:00,289.38,290.0,289.0,290.0,30244
2018-03-12 10:00:00,291.0,291.5,288.63,289.35,8438
2018-03-12 11:00:00,289.35,289.65,288.9,288.9,1824
2018-03-12 12:00:00,288.9,289.17,286.02,286.9,16482
2018-03-12 13:00:00,286.55,288.7,286.55,287.3,21080
2018-03-12 14:00:00,287.3,289.92,286.67,289.93,5440
2018-03-12 15:00:00,289.93,290.25,288.52,288.55,15824
2018-03-13 10:00:00,289.45,291.98,287.1,291.48,10202
2018-03-13 11:00:00,291.48,291.48,287.2,287.35,16970
2018-03-13 12:00:00,287.35,287.5,286.0,286.08,13314
2018-03-13 13:00:00,286.08,286.5,280.6,281.48,51646
2018-03-13 14:00:00,281.48,282.05,278.0,280.35,52210
2018-03-13 15:00:00,280.35,284.25,280.0,283.7,51662
2018-03-14 10:00:00,281.0,285.0,281.05,284.5,11148
2018-03-14 11:00:00,284.5,285.0,284.02,284.15,3300
2018-03-14 12:00:00,284.15,285.0,283.5,284.8,9610
2018-03-14 13:00:00,284.8,284.98,284.5,284.5,2746
2018-03-14 14:00:00,284.5,285.9,284.5,285.0,17020
2018-03-14 15:00:00,285.0,286.23,285.0,285.38,10576
2018-03-15 10:00:00,283.13,288.73,285.0,287.4,361648
2018-03-15 11:00:00,287.4,287.7,282.0,282.28,59880
2018-03-15 12:00:00,282.28,283.0,282.1,282.55,67364
2018-03-15 13:00:00,282.55,284.13,282.35,282.7,19146
2018-03-15 14:00:00,282.58,283.2,281.67,282.43,14974
2018-03-15 15:00:00,282.5,285.0,282.2,284.93,47206
2018-03-16 10:00:00,285.0,286.33,282.5,283.28,3470
2018-03-16 11:00:00,283.28,284.35,282.15,282.5,5322
2018-03-16 12:00:00,282.5,282.5,278.6,279.45,17612
2018-03-16 13:00:00,279.45,279.45,278.0,278.98,13090
2018-03-16 14:00:00,278.98,279.0,276.6,276.6,15704
2018-03-16 15:00:00,276.6,280.0,271.58,272.48,68794
2018-03-19 10:00:00,276.7,277.0,272.52,273.8,10774
