Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,64.55,65.2,64.4,64.4,147461
2018-03-01 11:00:00,64.4,64.6,64.25,64.55,40238
2018-03-01 12:00:00,64.55,64.6,64.0,64.0,57555
2018-03-01 13:00:00,64.0,64.25,63.8,64.25,34997
2018-03-01 14:00:00,64.15,64.35,63.7,63.8,102954
2018-03-01 15:00:00,63.75,64.0,63.5,63.95,108523
2018-03-05 10:00:00,63.8,63.9,63.15,63.3,89103
2018-03-05 11:00:00,63.25,63.3,63.05,63.25,57340
2018-03-05 12:00:00,63.25,63.6,63.1,63.55,66296
2018-03-05 13:00:00,63.6,64.75,63.5,64.55,139826
2018-03-05 14:00:00,64.6,64.9,64.1,64.25,111962
2018-03-05 15:00:00,64.3,64.4,63.75,64.25,210776
2018-03-06 10:00:00,64.7,64.95,64.0,64.3,109304
2018-03-06 11:00:00,64.2,64.6,63.65,64.5,229717
2018-03-06 12:00:00,64.5,64.65,64.3,64.65,72793
2018-03-06 13:00:00,64.65,64.7,64.35,64.5,38715
2018-03-06 14:00:00,64.5,64.6,64.45,64.5,95737
2018-03-06 15:00:00,64.5,64.55,63.2,63.2,141956
2018-03-07 10:00:00,62.4,63.05,62.15,62.2,142027
2018-03-07 11:00:00,62.2,62.3,61.05,61.25,231109
2018-03-07 12:00:00,61.25,61.55,58.85,61.2,540199
2018-03-07 13:00:00,61.15,61.35,60.25,60.55,138193
2018-03-07 14:00:00,60.55,61.0,60.0,60.35,131022
2018-03-07 15:00:00,60.35,60.7,59.75,60.4,370007
2018-03-08 10:00:00,61.3,62.2,60.1,60.25,347181
2018-03-08 11:00:00,60.25,60.65,60.0,60.55,115053
2018-03-08 12:00:00,60.55,60.7,60.25,60.55,79007
2018-03-08 13:00:00,60.55,61.1,60.55,60.6,203172
2018-03-08 14:00:00,60.6,60.8,60.5,60.75,92617
2018-03-08 15:00:00,60.65,61.0,60.55,60.65,242452
2018-03-09 10:00:00,61.0,61.1,60.1,60.5,188015
2018-03-09 11:00:00,60.5,61.35,60.5,61.05,197202
2018-03-09 12:00:00,61.0,61.2,61.0,61.05,125587
2018-03-09 13:00:00,61.05,61.25,61.0,61.05,56390
2018-03-09 14:00:00,61.0,61.15,61.0,61.0,70701
2018-03-09 15:00:00,61.0,61.15,61.0,61.0,234623
2018-03-12 10:00:00,61.75,61.95,61.0,61.1,119181
2018-03-12 11:00:00,61.1,61.35,61.0,61.15,55225
2018-03-12 12:00:00,61.15,61.25,61.0,61.1,46178
2018-03-12 13:00:00,61.1,61.2,60.7,60.85,91550
2018-03-12 14:00:00,60.85,61.05,60.65,60.7,98014
2018-03-12 15:00:00,60.7,61.05,60.5,60.7,182287
2018-03-13 10:00:00,60.6,62.95,60.65,62.4,404070
2018-03-13 11:00:00,62.4,63.2,62.3,63.0,176924
2018-03-13 12:00:00,63.0,63.05,62.0,62.1,134242
2018-03-13 13:00:00,62.1,62.85,62.0,62.5,62047
2018-03-13 14:00:00,62.5,63.1,61.9,62.05,139993
2018-03-13 15:00:00,62.05,62.75,61.8,62.25,184089
2018-03-14 10:00:00,62.55,62.55,61.2,61.8,174504
2018-03-14 11:00:00,61.8,61.9,61.25,61.75,53711
2018-03-14 12:00:00,61.75,61.8,61.3,61.4,73761
2018-03-14 13:00:00,61.4,61.45,61.25,61.25,34201
2018-03-14 14:00:00,61.25,61.4,61.25,61.3,50738
2018-03-14 15:00:00,61.3,61.95,61.25,61.3,100824
2018-03-15 10:00:00,61.4,62.0,61.2,61.85,161873
2018-03-15 11:00:00,61.85,61.85,61.5,61.55,89056
2018-03-15 12:00:00,61.55,61.7,61.45,61.65,31910
2018-03-15 13:00:00,61.65,62.4,61.55,61.9,98729
2018-03-15 14:00:00,61.9,62.2,61.6,61.6,74899
2018-03-15 15:00:00,61.6,62.15,61.6,62.05,54809
2018-03-16 10:00:00,61.95,62.15,61.3,61.7,136117
2018-03-16 11:00:00,61.75,61.75,61.55,61.7,48630
2018-03-16 12:00:00,61.7,61.75,61.6,61.65,44017
2018-03-16 13:00:00,61.65,61.7,61.55,61.65,21159
2018-03-16 14:00:00,61.65,61.75,61.5,61.5,504975
2018-03-16 15:00:00,61.5,61.6,60.8,60.9,276234
2018-03-19 10:00:00,60.35,60.35,59.0,59.15,187544
2018-03-19 11:00:00,59.15,59.3,58.5,58.6,132008
2018-03-19 12:00:00,58.6,59.25,58.5,59.15,68296
2018-03-19 13:00:00,59.15,59.25,58.9,59.05,66835
2018-03-19 14:00:00,59.05,59.65,59.0,59.2,52176
2018-03-19 15:00:00,59.2,59.45,58.85,58.9,96371
2018-03-20 10:00:00,58.9,59.45,58.3,59.25,128137
2018-03-20 11:00:00,59.25,59.35,59.05,59.2,40125
2018-03-20 12:00:00,59.25,59.4,59.0,59.2,40281
2018-03-20 13:00:00,59.2,59.4,59.05,59.35,113099
2018-03-20 14:00:00,59.35,59.4,59.0,59.05,32192
2018-03-20 15:00:00,59.05,59.2,58.45,58.55,239519
2018-03-21 10:00:00,59.1,60.4,59.1,59.7,124222
2018-03-21 11:00:00,59.7,60.15,59.65,60.1,72125
2018-03-21 12:00:00,60.1,60.15,59.75,59.9,149704
