,Ticker,Totalpnl,trades,tradeswon,tradeslost,winratio
3,AIAENG,52.717999999999904,18,15,3,0.8333333333333334
6,AARTIDRUGS,21.777499999999876,32,20,8,0.625
7,ABBOTINDIA,139.2065000000013,27,17,10,0.6296296296296297
8,ADANIENT,25.18325000000002,37,27,10,0.7297297297297297
13,ABFRL,1.3017499999999949,18,11,7,0.6111111111111112
14,AEGISCHEM,-9.389500000000032,29,18,11,0.6206896551724138
23,APOLLOTYRE,4.044749999999955,27,19,8,0.7037037037037037
24,ASAHIINDIA,-0.32874999999993104,18,12,6,0.6666666666666666
26,ASIANPAINT,56.932250000000415,36,24,11,0.6666666666666666
29,ASTRAL,22.957599999999974,39,26,12,0.6666666666666666
30,ATUL,89.29550000000054,20,13,6,0.65
31,AUROPHARMA,16.063499999999706,29,19,10,0.6551724137931034
32,AVANTIFEED,-5.935500000000147,13,8,5,0.6153846153846154
34,AXISBANK,27.466000000000143,42,27,13,0.6428571428571429
35,BASF,-10.201750000000132,8,5,2,0.625
36,BEML,-0.1537500000003611,26,17,8,0.6538461538461539
40,BAJFINANCE,23.709750000000085,57,35,22,0.6140350877192983
41,BAJAJFINSV,43.10474999999981,52,33,19,0.6346153846153846
43,BALAMINES,-2.0097499999999746,17,13,4,0.7647058823529411
47,BANKINDIA,-0.4427500000000084,26,16,7,0.6153846153846154
50,BAYERCROP,59.158249999998006,22,14,8,0.6363636363636364
52,BEL,0.2516999999999936,25,16,9,0.64
53,BHARATFORG,-3.5892499999999523,25,16,9,0.64
54,BHEL,1.639500000000007,17,13,4,0.7647058823529411
55,BPCL,4.244000000000023,25,16,9,0.64
59,BIRLACORPN,21.707999999999934,21,14,7,0.6666666666666666
60,BSOFT,1.3344999999999887,12,8,4,0.6666666666666666
62,BLUESTARCO,2.010000000000044,19,12,7,0.631578947368421
63,BBTC,-19.424249999999585,15,10,5,0.6666666666666666
65,BOSCHLTD,1680.8069999999966,30,26,4,0.8666666666666667
66,BRIGADE,-8.460649999999976,12,8,4,0.6666666666666666
76,CAPLIPOINT,6.536750000000126,16,11,3,0.6875
78,CARBORUNIV,2.5204999999998705,26,17,9,0.6538461538461539
79,CASTROLIND,5.379500000000014,24,17,6,0.7083333333333334
83,CENTURYPLY,0.35775000000002644,22,16,5,0.7272727272727273
84,CENTURYTEX,21.562500000000135,41,28,13,0.6829268292682927
85,CERA,30.869249999999727,10,7,3,0.7
88,CHOLAFIN,1.56265,36,25,11,0.6944444444444444
89,CIPLA,22.399249999999977,26,18,8,0.6923076923076923
90,CUB,6.155500000000005,14,10,3,0.7142857142857143
91,COALINDIA,-12.718750000000115,43,27,15,0.627906976744186
95,CAMS,13.5715,2,2,0,1.0
97,COROMANDEL,-10.290749999999997,20,13,7,0.65
98,CROMPTON,-5.371249999999995,14,9,5,0.6428571428571429
99,CUMMINSIND,-17.607750000000067,25,17,8,0.68
101,DCMSHRIRAM,2.3320000000000825,25,16,9,0.64
102,DLF,16.978999999999978,33,24,9,0.7272727272727273
105,DEEPAKNTR,1.2199999999998434,27,18,9,0.6666666666666666
107,DHANI,1.6752500000000001,1,1,0,1.0
109,DIVISLAB,80.71025000000009,31,20,11,0.6451612903225806
111,LALPATHLAB,-17.58250000000011,21,13,8,0.6190476190476191
113,EIDPARRY,-4.252749999999965,16,10,6,0.625
114,EIHOTEL,2.8012500000000196,13,10,3,0.7692307692307693
117,EICHERMOT,19.23195000000085,41,25,16,0.6097560975609756
120,ENDURANCE,36.184999999999796,25,17,7,0.68
121,ENGINERSIN,5.1272499999999805,19,14,5,0.7368421052631579
124,FDC,2.533000000000001,10,7,3,0.7
125,FEDERALBNK,0.12275000000000902,35,22,13,0.6285714285714286
126,FACT,1.159000000000003,12,9,2,0.75
127,FINCABLES,11.747749999999991,21,13,5,0.6190476190476191
128,FINPIPE,-0.900949999999982,18,11,7,0.6111111111111112
129,FSL,-2.931999999999968,33,21,11,0.6363636363636364
131,GAIL,1.2141499999999839,24,15,9,0.625
133,GMRINFRA,0.3802500000000043,20,14,5,0.7
134,GALAXYSURF,33.64874999999982,10,7,3,0.7
135,GARFIBRES,7.223249999999911,16,11,5,0.6875
137,GLAXO,24.79664999999971,31,22,9,0.7096774193548387
