Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,195.0,195.4499969482422,190.0,191.8000030517578,185.336669921875,1180
2017-01-03,192.5,193.9250030517578,188.5,189.3000030517578,182.92092895507812,2622
2017-01-04,191.875,194.35000610351562,191.5,191.625,185.16754150390625,98
2017-01-05,190.0749969482422,200.0,188.5749969482422,199.9499969482422,193.21202087402344,4940
2017-01-06,195.0,199.5,190.52499389648438,192.75,186.254638671875,5038
2017-01-09,191.6750030517578,196.97500610351562,186.5,192.5749969482422,186.08555603027344,3638
2017-01-10,194.64999389648438,195.25,188.14999389648438,191.64999389648438,185.1917266845703,2396
2017-01-11,194.0,197.0,191.125,195.0749969482422,188.50128173828125,7122
2017-01-12,200.0,200.0,192.5,195.89999389648438,189.29847717285156,360
2017-01-13,192.5,210.0,191.25,202.10000610351562,195.28958129882812,4186
2017-01-16,198.0,210.0,198.0,203.60000610351562,196.73904418945312,1896
2017-01-17,207.0,207.0,201.5,203.22500610351562,196.3766632080078,5016
2017-01-18,204.97500610351562,216.875,204.97500610351562,212.0,204.85594177246094,9392
2017-01-19,212.4499969482422,212.4499969482422,205.0,207.75,200.74917602539062,1730
2017-01-20,214.89999389648438,214.89999389648438,200.0,204.6999969482422,197.8019561767578,3666
2017-01-23,209.4250030517578,209.4250030517578,201.5,202.52499389648438,195.7002410888672,766
2017-01-24,201.52499389648438,204.0,200.25,201.0,194.22662353515625,890
2017-01-25,205.47500610351562,205.5,196.5749969482422,197.60000610351562,190.9412384033203,2346
2017-01-27,199.5,204.5,198.0,202.5,195.6761016845703,494
2017-01-30,203.75,203.75,199.5,199.89999389648438,193.16371154785156,4698
2017-01-31,209.0,224.5,208.5,218.0,210.65377807617188,132524
2017-02-01,221.0,232.0,221.0,228.6750030517578,220.9690399169922,51232
2017-02-02,230.0,269.5,230.0,257.9750061035156,249.28167724609375,255550
2017-02-03,259.95001220703125,270.0,253.5,256.57501220703125,247.9288787841797,83152
2017-02-06,256.0,258.92498779296875,236.5,238.1999969482422,230.17306518554688,74610
2017-02-07,249.5,257.5,247.0,255.6750030517578,247.05917358398438,431250
2017-02-08,254.97500610351562,260.5,254.22500610351562,258.42498779296875,249.71652221679688,105350
2017-02-09,257.0,264.0,257.0,262.79998779296875,253.9440460205078,43070
2017-02-10,262.79998779296875,269.8999938964844,257.82501220703125,260.07501220703125,251.3109588623047,51942
2017-02-13,264.9750061035156,264.9750061035156,253.35000610351562,255.27499389648438,246.67266845703125,29606
2017-02-14,256.0249938964844,263.0,251.3249969482422,258.3500061035156,249.64405822753906,30232
2017-02-15,261.8999938964844,261.92498779296875,251.25,254.1999969482422,246.11021423339844,9228
2017-02-16,255.0,259.4750061035156,251.9250030517578,252.5500030517578,244.51272583007812,16390
2017-02-17,251.02499389648438,252.47500610351562,245.0,245.77499389648438,237.95330810546875,27152
2017-02-20,246.5749969482422,252.47500610351562,237.35000610351562,240.97500610351562,233.3061065673828,26226
2017-02-21,241.1750030517578,245.25,239.0749969482422,244.6999969482422,236.9125213623047,161156
2017-02-22,241.52499389648438,249.0500030517578,241.52499389648438,246.375,238.5342254638672,271920
