Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,91.5,94.5,91.0,93.5,93.5,5618.0
2017-01-03,94.0,95.0,93.0,93.5,93.5,7434.0
2017-01-04,94.5,96.0,93.0,93.5,93.5,11856.0
2017-01-05,95.0,96.0,93.0,94.0,94.0,10577.0
2017-01-06,95.5,96.0,93.0,94.0,94.0,8722.0
2017-01-09,94.0,95.0,92.0,93.0,93.0,12148.0
2017-01-10,93.0,94.0,91.5,93.0,93.0,13134.0
2017-01-11,94.0,94.0,91.5,93.5,93.5,11338.0
2017-01-12,94.0,99.0,93.0,93.5,93.5,15775.0
2017-01-13,93.5,94.0,92.0,93.0,93.0,5847.0
2017-01-16,99.0,99.0,92.0,93.0,93.0,19696.0
2017-01-17,92.0,94.0,92.0,92.0,92.0,7376.0
2017-01-18,93.0,94.0,91.0,92.0,92.0,8252.0
2017-01-19,93.0,94.0,90.5,91.0,91.0,8185.0
2017-01-20,92.5,92.5,90.0,91.5,91.5,14576.0
2017-01-23,91.0,93.0,89.0,89.5,89.5,8868.0
2017-01-24,91.0,92.0,89.5,90.5,90.5,8633.0
2017-01-25,91.0,93.0,89.0,91.0,91.0,12701.0
2017-01-27,90.5,92.0,89.0,89.5,89.5,14228.0
2017-01-30,90.0,90.0,88.5,89.0,89.0,10152.0
2017-01-31,88.5,90.0,88.5,88.5,88.5,8958.0
2017-02-01,89.5,90.0,87.5,89.5,89.5,11531.0
2017-02-02,90.0,90.0,87.0,88.0,88.0,12281.0
2017-02-03,89.5,92.5,89.0,89.5,89.5,20041.0
2017-02-06,88.5,90.5,88.0,88.5,88.5,19339.0
2017-02-07,90.0,90.0,88.5,89.0,89.0,13913.0
2017-02-08,89.5,90.0,88.0,89.0,89.0,20858.0
2017-02-09,89.0,90.0,88.5,89.0,89.0,13641.0
2017-02-10,89.0,89.5,87.5,88.0,88.0,18291.0
2017-02-13,89.0,90.0,88.0,88.5,88.5,13499.0
2017-02-14,89.0,89.5,87.0,87.5,87.5,12896.0
2017-02-15,88.0,88.0,84.5,85.5,85.5,17126.0
2017-02-16,85.5,87.0,83.0,84.0,84.0,13588.0
2017-02-17,85.0,87.5,84.5,85.5,85.5,18701.0
2017-02-20,86.5,89.5,86.0,88.5,88.5,12554.0
2017-02-21,86.5,89.0,86.0,87.0,87.0,13495.0
2017-02-22,88.0,88.0,85.0,86.0,86.0,14404.0
2017-02-23,87.5,87.5,86.0,87.0,87.0,9630.0
2017-02-27,86.0,88.0,86.0,86.5,86.5,16466.0
2017-02-28,87.0,90.0,86.0,88.5,88.5,23693.0
2017-03-01,89.0,90.0,88.0,89.0,89.0,18202.0
2017-03-02,89.5,89.5,87.0,87.5,87.5,18633.0
