Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,94.69999694824219,95.9000015258789,94.69999694824219,95.0,86.6158218383789,2138
2017-01-03,95.0,97.19999694824219,95.0,96.75,88.21138763427734,4155
2017-01-04,97.69999694824219,97.75,93.69999694824219,95.4000015258789,86.98052978515625,24678
2017-01-05,96.25,98.80000305175781,95.4000015258789,97.44999694824219,88.84959411621094,10660
2017-01-06,97.3499984741211,103.9000015258789,96.0999984741211,103.25,94.13774108886719,63357
2017-01-09,104.3499984741211,105.3499984741211,97.6500015258789,98.75,90.03487396240234,123019
2017-01-10,98.6500015258789,103.80000305175781,96.8499984741211,103.30000305175781,94.1833267211914,146480
2017-01-11,101.80000305175781,104.80000305175781,100.6500015258789,101.3499984741211,92.40541076660156,29336
2017-01-12,102.0,107.3499984741211,101.0999984741211,105.55000305175781,96.23475646972656,108345
2017-01-13,105.5999984741211,110.5999984741211,102.80000305175781,109.4000015258789,99.7449722290039,195234
2017-01-16,109.9000015258789,115.75,108.0,114.9000015258789,104.75957489013672,119851
2017-01-17,115.0999984741211,116.9000015258789,108.3499984741211,114.94999694824219,104.80514526367188,176734
2017-01-18,112.94999694824219,116.6500015258789,111.0,112.0999984741211,102.2066879272461,83121
2017-01-19,114.5,132.3000030517578,111.4000015258789,126.94999694824219,115.74609375,1683778
2017-01-20,126.0,131.85000610351562,116.5999984741211,118.55000305175781,108.08744812011719,1150488
2017-01-23,118.0,123.5,115.19999694824219,117.3499984741211,106.99334716796875,175080
2017-01-24,120.0,126.80000305175781,117.80000305175781,122.6500015258789,111.82559204101562,584257
2017-01-25,122.0999984741211,126.69999694824219,121.1500015258789,121.8499984741211,111.09620666503906,283325
2017-01-27,122.9000015258789,125.0,117.75,118.6500015258789,108.17861938476562,102221
2017-01-30,119.9000015258789,121.75,116.1500015258789,117.5,107.13011169433594,75360
2017-01-31,118.75,119.69999694824219,112.5,113.55000305175781,103.5287094116211,70009
2017-02-01,113.05000305175781,116.69999694824219,113.05000305175781,113.6500015258789,103.61988067626953,28589
2017-02-02,115.0,117.5,113.6500015258789,114.1500015258789,104.07575988769531,26637
2017-02-03,114.05000305175781,116.30000305175781,113.69999694824219,115.25,105.07868194580078,31325
2017-02-06,115.05000305175781,121.5,114.75,119.9000015258789,109.31828308105469,65687
2017-02-07,119.80000305175781,122.25,116.0,116.55000305175781,106.26395416259766,28156
2017-02-08,118.80000305175781,118.80000305175781,116.19999694824219,117.9000015258789,107.49480438232422,16405
2017-02-09,119.69999694824219,119.69999694824219,115.69999694824219,116.30000305175781,106.03601837158203,37971
2017-02-10,116.25,124.5,116.19999694824219,119.05000305175781,108.54331970214844,156062
2017-02-13,119.94999694824219,120.30000305175781,115.5999984741211,116.44999694824219,106.17277526855469,31015
2017-02-14,117.1500015258789,117.9000015258789,114.80000305175781,115.3499984741211,105.16984558105469,18573
2017-02-15,116.69999694824219,116.69999694824219,113.0,113.1500015258789,103.16400909423828,14345
2017-02-16,113.3499984741211,115.5999984741211,113.0,113.75,103.71104431152344,12962
2017-02-17,114.19999694824219,118.0999984741211,113.0,114.44999694824219,104.34927368164062,41567
2017-02-20,115.6500015258789,116.5,114.5,114.94999694824219,104.80514526367188,7347
2017-02-21,115.94999694824219,119.30000305175781,113.4000015258789,118.8499984741211,108.3609619140625,30076
2017-02-22,118.0,119.0,116.0,116.1500015258789,105.89924621582031,13153
2017-02-23,115.9000015258789,118.9000015258789,114.3499984741211,115.55000305175781,105.35221862792969,14746
2017-02-27,115.1500015258789,117.0,113.8499984741211,116.5,106.2183609008789,19512
2017-02-28,117.44999694824219,122.19999694824219,117.44999694824219,121.55000305175781,110.82267761230469,72560
2017-03-01,122.0,123.5,118.80000305175781,120.75,110.09329223632812,56719
2017-03-02,122.80000305175781,122.8499984741211,119.0,119.19999694824219,108.6800765991211,37124
2017-03-03,120.9000015258789,120.9000015258789,117.1500015258789,118.69999694824219,108.22420501708984,10826
2017-03-06,119.80000305175781,123.0,119.80000305175781,121.8499984741211,111.09620666503906,22295
2017-03-07,121.9000015258789,126.4000015258789,119.19999694824219,123.94999694824219,113.01087188720703,207133
2017-03-08,123.94999694824219,125.80000305175781,121.55000305175781,122.8499984741211,112.00794219970703,30839
2017-03-09,122.5,123.80000305175781,121.5,121.6500015258789,110.91384887695312,12237
2017-03-10,122.94999694824219,123.5,119.05000305175781,119.9000015258789,109.31828308105469,16507
2017-03-14,120.4000015258789,123.0,117.0999984741211,121.0,110.32122802734375,13697
2017-03-15,121.9000015258789,124.5,120.69999694824219,121.8499984741211,111.09620666503906,20721
2017-03-16,122.1500015258789,126.5,121.0,123.6500015258789,112.73735046386719,36766
2017-03-17,124.9000015258789,125.0,121.0999984741211,123.5,112.6005859375,28450
2017-03-20,123.5,124.80000305175781,122.19999694824219,123.4000015258789,112.50941467285156,5750
2017-03-21,123.4000015258789,127.0,122.75,125.75,114.65201568603516,49671
2017-03-22,125.75,126.0,121.5999984741211,122.75,111.9167709350586,18923
2017-03-23,122.80000305175781,124.0,122.0,122.69999694824219,111.87118530273438,15066
2017-03-24,123.9000015258789,124.75,120.6500015258789,122.05000305175781,111.27855682373047,9316
2017-03-27,121.94999694824219,123.44999694824219,120.0,120.4000015258789,109.774169921875,14291
2017-03-28,119.80000305175781,126.30000305175781,119.80000305175781,124.4000015258789,113.42115783691406,72418
2017-03-29,123.3499984741211,124.8499984741211,120.05000305175781,121.0999984741211,110.41238403320312,18637
2017-03-30,121.3499984741211,124.0,121.0,121.4000015258789,110.6859130859375,26214
