Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,64.8,65.6,64.5,65.0,34815
2018-03-01 09:30:00,65.0,65.15,64.95,65.0,10664
2018-03-01 09:45:00,65.15,65.3,64.95,65.25,10855
2018-03-01 10:00:00,65.25,65.5,64.95,65.0,22936
2018-03-01 10:15:00,65.0,65.15,64.95,65.0,20286
2018-03-01 10:30:00,65.0,65.0,64.8,65.0,12842
2018-03-01 10:45:00,65.0,65.05,64.85,65.05,3540
2018-03-01 11:00:00,65.05,65.1,64.9,65.0,10737
2018-03-01 11:15:00,65.0,65.05,64.9,65.0,8484
2018-03-01 11:30:00,65.0,65.05,64.9,64.95,1245
2018-03-01 11:45:00,64.95,65.1,64.95,65.1,822
2018-03-01 12:00:00,65.2,65.45,65.15,65.3,6675
2018-03-01 12:15:00,65.2,65.2,65.15,65.2,6215
2018-03-01 12:30:00,65.2,65.3,65.2,65.3,1348
2018-03-01 12:45:00,65.3,65.3,65.3,65.3,1340
2018-03-01 13:00:00,65.3,65.45,65.3,65.35,3224
2018-03-01 13:15:00,65.35,65.4,65.2,65.2,2978
2018-03-01 13:30:00,65.2,65.35,65.2,65.3,1758
2018-03-01 13:45:00,65.3,65.3,65.15,65.15,1795
2018-03-01 14:00:00,65.15,65.25,65.1,65.2,4894
2018-03-01 14:15:00,65.2,65.2,65.05,65.15,6378
2018-03-01 14:30:00,65.15,65.2,64.75,64.75,16705
2018-03-01 14:45:00,64.75,65.0,64.75,65.0,4126
2018-03-01 15:00:00,65.0,65.0,64.75,64.8,7922
2018-03-01 15:15:00,64.9,64.95,64.5,64.6,30058
2018-03-05 09:15:00,64.5,65.0,64.3,64.8,7425
2018-03-05 09:30:00,64.75,64.95,64.65,64.9,5485
2018-03-05 09:45:00,64.9,65.25,64.9,65.1,5736
2018-03-05 10:00:00,65.1,65.2,64.95,64.95,11883
2018-03-05 10:15:00,64.95,64.95,64.5,64.55,4282
2018-03-05 10:30:00,64.55,64.7,64.3,64.45,5183
2018-03-05 10:45:00,64.45,64.8,64.45,64.7,956
2018-03-05 11:00:00,64.7,64.75,64.45,64.45,7656
2018-03-05 11:15:00,64.45,64.7,64.3,64.6,5791
2018-03-05 11:30:00,64.6,64.75,64.3,64.45,10695
2018-03-05 11:45:00,64.45,64.5,64.35,64.5,1570
2018-03-05 12:00:00,64.5,64.6,64.35,64.5,1427
2018-03-05 12:15:00,64.6,64.6,64.45,64.55,549
2018-03-05 12:30:00,64.55,64.65,64.45,64.65,428
2018-03-05 12:45:00,64.65,64.65,64.4,64.4,2016
2018-03-05 13:00:00,64.4,64.6,64.35,64.45,2289
2018-03-05 13:15:00,64.45,64.5,64.3,64.35,2217
2018-03-05 13:30:00,64.5,64.6,64.35,64.55,1743
2018-03-05 13:45:00,64.55,64.6,64.45,64.6,2320
2018-03-05 14:00:00,64.6,64.65,64.5,64.6,2636
2018-03-05 14:15:00,64.6,64.6,64.5,64.6,1319
2018-03-05 14:30:00,64.6,65.0,64.5,64.7,12769
