Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,360.5,363.5,360.5,363.03,1683
2018-03-01 09:30:00,363.03,363.5,362.8,363.1,982
2018-03-01 09:45:00,363.0,364.42,362.52,364.4,1283
2018-03-01 10:00:00,364.4,364.75,363.2,363.2,938
2018-03-01 10:15:00,363.2,364.5,362.98,364.48,911
2018-03-01 10:30:00,364.48,364.5,363.02,364.5,1097
2018-03-01 10:45:00,364.5,365.45,364.23,364.93,1934
2018-03-01 11:00:00,364.93,365.45,364.58,365.0,620
2018-03-01 11:15:00,365.0,365.48,365.0,365.03,838
2018-03-01 11:30:00,365.03,365.5,365.0,365.0,850
2018-03-01 11:45:00,365.03,365.5,364.8,365.5,626
2018-03-01 12:00:00,365.5,365.7,365.0,365.53,930
2018-03-01 12:15:00,365.53,366.0,365.52,365.63,386
2018-03-01 12:30:00,365.63,366.08,365.52,365.98,1100
2018-03-01 12:45:00,365.98,366.05,365.52,365.85,355
2018-03-01 13:00:00,365.85,366.5,365.75,366.28,1152
2018-03-01 13:15:00,366.28,366.5,365.9,366.0,419
2018-03-01 13:30:00,366.0,366.2,365.75,366.18,378
2018-03-01 13:45:00,366.18,366.35,365.5,366.2,1206
2018-03-01 14:00:00,366.2,366.38,365.17,365.5,958
2018-03-01 14:15:00,365.5,366.4,365.02,366.0,1843
2018-03-01 14:30:00,366.0,366.45,365.52,366.05,272
2018-03-01 14:45:00,366.05,366.2,365.52,366.0,656
2018-03-01 15:00:00,366.0,366.6,365.5,366.5,1894
2018-03-01 15:15:00,366.5,366.67,365.5,365.5,3068
2018-03-05 09:15:00,363.6,365.67,360.9,361.25,2370
2018-03-05 09:30:00,361.25,362.83,361.0,362.8,1656
2018-03-05 09:45:00,362.8,363.17,362.0,363.05,1160
2018-03-05 10:00:00,363.05,363.05,362.2,362.68,515
2018-03-05 10:15:00,362.68,362.98,361.63,362.4,1948
2018-03-05 10:30:00,362.4,362.98,362.0,362.43,782
2018-03-05 10:45:00,362.43,362.48,362.0,362.38,553
2018-03-05 11:00:00,362.38,362.77,362.02,362.73,490
2018-03-05 11:15:00,362.73,362.8,362.02,362.5,223
2018-03-05 11:30:00,362.15,362.75,362.02,362.68,277
2018-03-05 11:45:00,362.68,362.67,362.0,362.45,337
2018-03-05 12:00:00,362.45,363.5,362.15,363.5,872
2018-03-05 12:15:00,363.5,363.5,362.52,362.93,383
2018-03-05 12:30:00,362.93,363.38,362.0,362.58,355
2018-03-05 12:45:00,362.58,363.38,362.0,363.1,680
2018-03-05 13:00:00,362.7,363.48,362.4,362.98,450
2018-03-05 13:15:00,362.98,363.0,362.3,362.85,254
2018-03-05 13:30:00,362.85,363.0,362.52,362.53,170
2018-03-05 13:45:00,362.53,362.95,362.5,362.95,165
2018-03-05 14:00:00,362.95,363.13,362.5,363.13,395
2018-03-05 14:15:00,363.13,363.88,363.05,363.3,460
2018-03-05 14:30:00,363.3,363.63,363.08,363.45,184
2018-03-05 14:45:00,363.45,363.88,363.25,363.53,656
2018-03-05 15:00:00,363.53,363.52,362.02,362.5,2567
2018-03-05 15:15:00,362.25,363.5,361.27,362.4,3070
2018-03-06 09:15:00,362.5,364.67,361.67,364.33,1879
2018-03-06 09:30:00,364.33,364.48,363.6,363.93,815
2018-03-06 09:45:00,364.05,364.23,363.5,363.5,456
2018-03-06 10:00:00,363.98,363.98,362.77,363.23,504
2018-03-06 10:15:00,363.23,363.23,361.95,361.95,698
2018-03-06 10:30:00,361.75,361.98,361.08,361.63,596
2018-03-06 10:45:00,361.63,361.98,361.0,361.98,418
2018-03-06 11:00:00,361.98,362.5,361.88,362.15,572
2018-03-06 11:15:00,362.15,362.95,361.5,362.88,740
2018-03-06 11:30:00,362.88,363.25,362.5,363.2,631
2018-03-06 11:45:00,363.25,363.85,361.5,361.93,652
2018-03-06 12:00:00,361.93,362.73,361.5,362.68,324
2018-03-06 12:15:00,362.68,362.67,361.38,361.98,247
2018-03-06 12:30:00,361.65,362.48,361.65,362.4,294
2018-03-06 12:45:00,362.4,362.92,362.0,362.93,284
2018-03-06 13:00:00,362.93,363.0,362.58,362.88,164
2018-03-06 13:15:00,362.58,362.85,361.73,362.03,304
