Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,207.75,209.55,207.0,208.65,12144
2018-03-01 09:30:00,208.65,208.65,207.1,207.25,5594
2018-03-01 09:45:00,207.25,207.35,206.5,206.85,11110
2018-03-01 10:00:00,206.85,206.9,205.2,205.55,8943
2018-03-01 10:15:00,205.55,206.7,205.2,205.8,7473
2018-03-01 10:30:00,205.75,206.25,205.3,205.5,7024
2018-03-01 10:45:00,205.5,206.0,204.75,205.0,10693
2018-03-01 11:00:00,205.1,205.1,204.75,204.85,9814
2018-03-01 11:15:00,204.85,205.0,204.75,204.8,3743
2018-03-01 11:30:00,204.8,205.0,204.75,205.0,13211
2018-03-01 11:45:00,204.8,205.15,204.75,204.85,9109
2018-03-01 12:00:00,204.75,204.85,203.2,203.25,16057
2018-03-01 12:15:00,203.4,203.55,203.1,203.25,12387
2018-03-01 12:30:00,203.25,203.5,203.15,203.2,4676
2018-03-01 12:45:00,203.15,203.55,203.15,203.3,3319
2018-03-01 13:00:00,203.3,203.6,203.3,203.3,2610
2018-03-01 13:15:00,203.3,203.5,203.15,203.25,4926
2018-03-01 13:30:00,203.25,203.5,203.15,203.25,5144
2018-03-01 13:45:00,203.25,203.35,203.15,203.15,5265
2018-03-01 14:00:00,203.1,203.35,203.0,203.0,4871
2018-03-01 14:15:00,203.0,203.1,202.65,202.9,5936
2018-03-01 14:30:00,202.9,202.9,202.0,202.0,12914
2018-03-01 14:45:00,202.0,202.15,202.0,202.05,15221
2018-03-01 15:00:00,202.05,202.05,201.1,201.5,16087
2018-03-01 15:15:00,201.45,202.4,201.05,202.15,33699
2018-03-05 09:15:00,202.0,202.0,200.1,201.0,11957
2018-03-05 09:30:00,201.0,202.7,200.0,202.7,12889
2018-03-05 09:45:00,202.7,203.0,201.5,202.2,46720
2018-03-05 10:00:00,202.5,202.8,202.0,202.8,8159
2018-03-05 10:15:00,202.8,203.0,202.05,202.85,5969
2018-03-05 10:30:00,202.85,203.3,202.5,203.15,14477
2018-03-05 10:45:00,203.15,204.7,203.0,204.2,19688
2018-03-05 11:00:00,204.2,206.0,204.0,205.05,178010
2018-03-05 11:15:00,205.05,205.2,204.8,204.9,20261
2018-03-05 11:30:00,204.95,205.15,204.8,204.9,27203
2018-03-05 11:45:00,204.9,205.2,204.5,205.0,48042
2018-03-05 12:00:00,205.0,205.1,203.25,203.3,76602
2018-03-05 12:15:00,203.3,205.2,203.2,204.85,62350
2018-03-05 12:30:00,204.85,205.1,203.1,205.0,78970
2018-03-05 12:45:00,205.0,205.55,204.85,205.0,36774
2018-03-05 13:00:00,205.0,205.1,204.6,204.9,31606
2018-03-05 13:15:00,204.9,205.1,204.0,204.9,77154
2018-03-05 13:30:00,205.0,205.7,204.7,205.2,86301
2018-03-05 13:45:00,205.2,205.7,205.0,205.5,50238
2018-03-05 14:00:00,205.5,206.25,205.2,205.45,47517
2018-03-05 14:15:00,205.5,205.5,204.5,204.85,19027
2018-03-05 14:30:00,204.7,205.0,204.6,204.8,11175
2018-03-05 14:45:00,204.8,205.0,204.6,204.75,25928
2018-03-05 15:00:00,204.75,204.8,203.9,204.0,35660
2018-03-05 15:15:00,204.0,204.45,203.25,203.7,110638
2018-03-06 09:15:00,204.1,206.0,204.55,206.0,21408
2018-03-06 09:30:00,206.0,206.0,204.7,204.85,14891
