Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,908.0,911.85,908.0,910.0,103
2018-03-01 09:30:00,910.0,910.2,908.1,909.95,317
2018-03-01 09:45:00,909.95,910.0,908.4,910.0,1391
2018-03-01 10:00:00,910.0,910.9,910.0,910.9,191
2018-03-01 10:15:00,910.9,911.35,910.0,910.1,141
2018-03-01 10:30:00,910.1,910.1,910.1,910.1,40
2018-03-01 10:45:00,910.1,910.95,910.1,910.15,34
2018-03-01 11:00:00,910.15,910.9,910.15,910.15,93
2018-03-01 11:15:00,910.9,911.05,910.5,910.5,21
2018-03-01 11:30:00,910.5,910.5,910.1,910.5,32
2018-03-01 11:45:00,910.5,910.5,910.5,910.5,5
2018-03-01 12:00:00,910.9,911.0,910.1,911.0,289
2018-03-01 12:15:00,911.0,912.95,909.65,911.3,400687
2018-03-01 12:30:00,911.3,914.9,911.3,913.2,2400
2018-03-01 12:45:00,914.0,914.0,912.1,914.0,3065
2018-03-01 13:00:00,914.0,914.0,911.25,912.0,625
2018-03-01 13:15:00,912.0,912.0,911.0,911.0,532
2018-03-01 13:30:00,911.0,912.0,910.15,910.15,172
2018-03-01 13:45:00,912.0,912.0,910.5,911.8,583
2018-03-01 14:00:00,911.8,912.0,910.5,911.55,218
2018-03-01 14:15:00,911.75,912.0,910.5,912.0,408
2018-03-01 14:30:00,912.0,912.0,910.0,911.45,1635
2018-03-01 14:45:00,911.45,912.0,910.0,912.0,1452
2018-03-01 15:00:00,911.4,911.95,910.0,910.25,895
2018-03-01 15:15:00,910.25,911.0,909.0,909.0,1288
2018-03-05 09:15:00,909.0,911.95,909.0,909.95,262
2018-03-05 09:30:00,909.95,911.7,909.95,910.0,120
2018-03-05 09:45:00,910.0,911.1,910.0,911.1,64
2018-03-05 10:00:00,911.05,912.0,910.25,910.5,179
2018-03-05 10:15:00,910.55,911.15,910.0,910.0,861
2018-03-05 10:30:00,910.0,910.25,910.0,910.05,128
2018-03-05 10:45:00,910.05,910.5,910.0,910.0,165
2018-03-05 11:00:00,910.0,911.2,910.0,911.2,78
2018-03-05 11:15:00,911.2,911.2,910.0,910.0,348
2018-03-05 11:30:00,910.0,910.95,910.0,910.9,223
2018-03-05 11:45:00,910.9,910.9,910.0,910.0,501
2018-03-05 12:00:00,910.0,910.7,909.15,910.2,162
2018-03-05 12:15:00,910.9,910.9,910.0,910.0,49
2018-03-05 12:30:00,910.0,910.9,910.0,910.05,769
2018-03-05 12:45:00,910.0,910.7,910.0,910.7,489
2018-03-05 13:00:00,910.7,910.7,910.0,910.5,373
2018-03-05 13:15:00,910.7,910.7,910.65,910.7,63
2018-03-05 13:30:00,910.7,910.7,910.05,910.65,81
2018-03-05 13:45:00,910.65,910.65,910.0,910.65,59
2018-03-05 14:00:00,910.65,910.65,910.05,910.05,67
2018-03-05 14:15:00,910.05,910.55,910.0,910.55,104
2018-03-05 14:30:00,910.0,910.8,909.1,910.0,1072
2018-03-05 14:45:00,910.0,910.65,910.0,910.0,1972
2018-03-05 15:00:00,910.0,910.75,910.0,910.05,788
2018-03-05 15:15:00,910.05,912.0,910.0,911.95,2476
2018-03-06 09:15:00,908.0,910.95,908.0,910.95,152
2018-03-06 09:30:00,910.95,910.95,910.0,910.85,52
2018-03-06 09:45:00,910.85,910.85,910.05,910.05,114
2018-03-06 10:00:00,910.05,910.85,910.0,910.0,183
2018-03-06 10:15:00,910.0,910.05,910.0,910.05,126
2018-03-06 10:30:00,910.05,910.75,909.1,909.95,415
2018-03-06 10:45:00,909.95,910.65,909.15,910.65,748
2018-03-06 11:00:00,909.5,910.7,909.45,910.05,612
2018-03-06 11:15:00,910.05,910.65,910.0,910.05,122
2018-03-06 11:30:00,910.05,910.5,910.0,910.05,1239
2018-03-06 11:45:00,910.05,910.65,910.05,910.05,87
2018-03-06 12:00:00,910.05,910.65,910.05,910.05,71
2018-03-06 12:15:00,910.05,910.45,910.05,910.05,121
2018-03-06 12:30:00,910.05,910.45,910.05,910.05,113
2018-03-06 12:45:00,910.05,910.45,910.05,910.05,43
2018-03-06 13:00:00,910.05,910.1,910.05,910.05,108
2018-03-06 13:15:00,910.05,910.15,910.05,910.05,108
