Date,Open,High,Low,Close,Volume
2018-03-01 09:15:00,62.85,63.4,62.25,62.9,749270
2018-03-01 09:30:00,62.9,62.95,62.15,62.45,445005
2018-03-01 09:45:00,62.45,62.5,61.75,62.3,543163
2018-03-01 10:00:00,62.3,62.5,61.9,62.1,198598
2018-03-01 10:15:00,62.1,62.5,62.1,62.45,150919
2018-03-01 10:30:00,62.45,62.45,62.05,62.25,92715
2018-03-01 10:45:00,62.25,62.7,62.2,62.6,286492
2018-03-01 11:00:00,62.6,62.9,62.45,62.55,195470
2018-03-01 11:15:00,62.55,62.6,62.2,62.4,131582
2018-03-01 11:30:00,62.4,62.4,62.15,62.25,110115
2018-03-01 11:45:00,62.25,62.4,62.15,62.35,79946
2018-03-01 12:00:00,62.35,62.5,62.2,62.5,146015
2018-03-01 12:15:00,62.4,62.9,62.4,62.75,207103
2018-03-01 12:30:00,62.75,62.9,62.5,62.55,147040
2018-03-01 12:45:00,62.55,62.6,62.4,62.45,77011
2018-03-01 13:00:00,62.45,62.65,62.4,62.5,51389
2018-03-01 13:15:00,62.6,62.9,62.55,62.6,194466
2018-03-01 13:30:00,62.6,62.8,62.3,62.35,84589
2018-03-01 13:45:00,62.3,62.4,62.15,62.2,156594
2018-03-01 14:00:00,62.2,62.35,62.05,62.15,218934
2018-03-01 14:15:00,62.15,62.6,62.1,62.45,98876
2018-03-01 14:30:00,62.45,62.45,61.85,61.9,206792
2018-03-01 14:45:00,61.9,62.1,61.75,61.85,194936
2018-03-01 15:00:00,61.85,61.9,61.35,61.85,649051
2018-03-01 15:15:00,61.85,62.0,61.7,61.95,499988
2018-03-05 09:15:00,61.5,61.65,60.75,61.15,512815
2018-03-05 09:30:00,61.15,61.15,60.55,60.9,253254
2018-03-05 09:45:00,60.9,61.1,60.75,61.0,121798
2018-03-05 10:00:00,61.05,61.35,60.95,61.2,180140
2018-03-05 10:15:00,61.2,61.3,60.95,61.0,80881
2018-03-05 10:30:00,61.0,61.0,60.45,60.55,249675
2018-03-05 10:45:00,60.55,60.8,60.4,60.7,111778
2018-03-05 11:00:00,60.7,60.8,60.6,60.7,38942
2018-03-05 11:15:00,60.6,60.8,60.55,60.8,32440
2018-03-05 11:30:00,60.8,60.95,60.65,60.65,67844
2018-03-05 11:45:00,60.65,60.75,60.5,60.6,47855
2018-03-05 12:00:00,60.6,60.7,60.0,60.6,279558
2018-03-05 12:15:00,60.6,60.7,60.45,60.45,50396
2018-03-05 12:30:00,60.45,60.55,60.1,60.2,163803
2018-03-05 12:45:00,60.2,60.25,60.0,60.05,103276
2018-03-05 13:00:00,60.05,60.2,59.95,60.05,135041
2018-03-05 13:15:00,60.05,60.2,59.85,60.15,166107
2018-03-05 13:30:00,60.15,60.6,60.1,60.5,114419
2018-03-05 13:45:00,60.5,60.75,60.3,60.6,295956
2018-03-05 14:00:00,60.6,60.6,60.25,60.55,69510
2018-03-05 14:15:00,60.55,60.75,60.4,60.55,152089
2018-03-05 14:30:00,60.55,60.65,60.25,60.45,182287
2018-03-05 14:45:00,60.45,60.55,60.1,60.3,149260
2018-03-05 15:00:00,60.3,60.6,60.25,60.5,223095
2018-03-05 15:15:00,60.55,60.85,60.4,60.7,516668
2018-03-06 09:15:00,61.0,61.5,61.1,61.3,468223
2018-03-06 09:30:00,61.25,61.4,61.15,61.2,123775
2018-03-06 09:45:00,61.2,61.35,60.8,60.9,200630
2018-03-06 10:00:00,60.9,60.9,60.4,60.7,217151
2018-03-06 10:15:00,60.7,60.7,60.25,60.4,138549
2018-03-06 10:30:00,60.4,60.7,60.25,60.6,123292
2018-03-06 10:45:00,60.6,60.75,60.45,60.45,49643
2018-03-06 11:00:00,60.45,60.65,60.3,60.65,126484
2018-03-06 11:15:00,60.65,60.7,60.5,60.55,56332
2018-03-06 11:30:00,60.55,60.6,60.3,60.35,57611
2018-03-06 11:45:00,60.35,60.7,60.3,60.55,70218
2018-03-06 12:00:00,60.55,60.6,60.4,60.6,24446
2018-03-06 12:15:00,60.6,60.65,60.5,60.65,54268
2018-03-06 12:30:00,60.6,61.3,60.6,61.3,234658
2018-03-06 12:45:00,61.3,61.3,60.85,61.0,119062
2018-03-06 13:00:00,61.0,62.25,60.9,62.2,837140
2018-03-06 13:15:00,62.2,63.2,62.1,63.0,2495326
2018-03-06 13:30:00,63.05,63.65,62.85,63.2,1898890
2018-03-06 13:45:00,63.15,63.3,63.0,63.15,1228845
2018-03-06 14:00:00,63.15,63.6,62.6,62.65,1032260
2018-03-06 14:15:00,62.65,62.95,62.5,62.9,707760
2018-03-06 14:30:00,62.85,63.05,62.0,62.2,747730
2018-03-06 14:45:00,62.2,62.2,60.55,60.8,1194788
2018-03-06 15:00:00,60.8,61.0,60.2,60.7,740580
2018-03-06 15:15:00,60.7,60.8,59.8,59.9,683872
2018-03-07 09:15:00,60.05,61.2,59.95,60.9,788869
2018-03-07 09:30:00,60.9,61.0,60.15,60.75,482816
2018-03-07 09:45:00,60.75,61.45,60.7,61.45,818998
2018-03-07 10:00:00,61.45,61.75,61.0,61.3,718583
